"","Country","Code","Date","Open","High","Low","Close"
"1","Australia","ASX 200",2016-12-13,5562.799805,5573.700195,5543.5,5545
"2","Australia","ASX 200",2016-12-12,5560.600098,5583.200195,5552.5,5562.799805
"3","Australia","ASX 200",2016-12-09,5543.600098,5566.100098,5541.299805,5560.600098
"4","Australia","ASX 200",2016-12-08,5478.100098,5550.200195,5478.100098,5543.600098
"5","Australia","ASX 200",2016-12-07,5428.700195,5478.100098,5428.700195,5478.100098
"6","Australia","ASX 200",2016-12-06,5400.399902,5451.299805,5400.399902,5428.700195
"7","Australia","ASX 200",2016-12-05,5444,5444,5383.799805,5400.399902
"8","Australia","ASX 200",2016-12-02,5500.200195,5500.200195,5444,5444
"9","Australia","ASX 200",2016-12-01,5440.5,5500.200195,5440.5,5500.200195
"10","Australia","ASX 200",2016-11-30,5457.5,5458.100098,5423.200195,5440.5
"11","Australia","ASX 200",2016-11-29,5464.399902,5486.600098,5453.299805,5457.5
"12","Australia","ASX 200",2016-11-28,5507.799805,5507.799805,5464.399902,5464.399902
"13","Australia","ASX 200",2016-11-25,5485.100098,5520.899902,5478.899902,5507.799805
"14","Australia","ASX 200",2016-11-24,5484.399902,5503.299805,5471.799805,5485.100098
"15","Australia","ASX 200",2016-11-23,5413.299805,5488.5,5413.299805,5484.399902
"16","Australia","ASX 200",2016-11-22,5351.299805,5425.5,5351.299805,5413.299805
"17","Australia","ASX 200",2016-11-21,5359.399902,5364,5334.899902,5351.299805
"18","Australia","ASX 200",2016-11-18,5338.5,5366.399902,5338.5,5359.399902
"19","Australia","ASX 200",2016-11-17,5327.700195,5344.700195,5286.200195,5338.5
"20","Australia","ASX 200",2016-11-16,5326.200195,5346.700195,5320.299805,5327.700195
"21","Australia","ASX 200",2016-11-15,5345.700195,5345.700195,5303.299805,5326.200195
"22","Australia","ASX 200",2016-11-14,5370.700195,5370.700195,5315.299805,5345.700195
"23","Australia","ASX 200",2016-11-11,5328.799805,5370.700195,5328.799805,5370.700195
"24","Australia","ASX 200",2016-11-10,5156.600098,5328.799805,5156.600098,5328.799805
"25","Australia","ASX 200",2016-11-09,5257.799805,5314.100098,5052.100098,5156.600098
"26","Australia","ASX 200",2016-11-08,5250.799805,5282.399902,5244.299805,5257.799805
"27","Australia","ASX 200",2016-11-07,5180.799805,5251.899902,5180.799805,5250.799805
"28","Australia","ASX 200",2016-11-04,5225.600098,5225.600098,5178,5180.799805
"29","Australia","ASX 200",2016-11-03,5229,5241.200195,5201.5,5225.600098
"30","Australia","ASX 200",2016-11-02,5290.5,5290.5,5207.700195,5229
"31","Australia","ASX 200",2016-11-01,5317.700195,5317.700195,5271.700195,5290.5
"32","Australia","ASX 200",2016-10-31,5283.799805,5329.100098,5277.700195,5317.700195
"33","Australia","ASX 200",2016-10-28,5295.5,5311.399902,5261.399902,5283.799805
"34","Australia","ASX 200",2016-10-27,5359.799805,5374.200195,5295.5,5295.5
"35","Australia","ASX 200",2016-10-26,5442.799805,5442.799805,5340.700195,5359.799805
"36","Australia","ASX 200",2016-10-25,5408.5,5455.700195,5407.700195,5442.799805
"37","Australia","ASX 200",2016-10-24,5430.299805,5430.299805,5377.399902,5408.5
"38","Australia","ASX 200",2016-10-21,5442.100098,5446.899902,5410.799805,5430.299805
"39","Australia","ASX 200",2016-10-20,5435.399902,5457.899902,5433.100098,5442.100098
"40","Australia","ASX 200",2016-10-19,5410.799805,5438.600098,5410.799805,5435.399902
"41","Australia","ASX 200",2016-10-18,5388.700195,5417.5,5386.100098,5410.799805
"42","Australia","ASX 200",2016-10-17,5434,5441.200195,5388.700195,5388.700195
"43","Australia","ASX 200",2016-10-14,5435.5,5447.200195,5430.299805,5434
"44","Australia","ASX 200",2016-10-13,5474.600098,5474.600098,5420.799805,5435.5
"45","Australia","ASX 200",2016-10-12,5479.799805,5479.799805,5433.600098,5474.600098
"46","Australia","ASX 200",2016-10-11,5475.399902,5498,5474.399902,5479.799805
"47","Australia","ASX 200",2016-10-10,5467.399902,5494.700195,5467.399902,5475.399902
"48","Australia","ASX 200",2016-10-07,5483,5493.100098,5457.200195,5467.399902
"49","Australia","ASX 200",2016-10-06,5452.899902,5485.799805,5452.899902,5483
"50","Australia","ASX 200",2016-10-05,5484,5484,5439.799805,5452.899902
"51","Australia","ASX 200",2016-10-04,5478.5,5484,5448.299805,5484
"52","Australia","ASX 200",2016-10-03,5435.899902,5492.100098,5435.899902,5478.5
"53","Australia","ASX 200",2016-09-30,5471.299805,5471.299805,5417.700195,5435.899902
"54","Australia","ASX 200",2016-09-29,5412.399902,5473.299805,5412.399902,5471.299805
"55","Australia","ASX 200",2016-09-28,5405.899902,5435,5399.100098,5412.399902
"56","Australia","ASX 200",2016-09-27,5431.399902,5431.399902,5372.299805,5405.899902
"57","Australia","ASX 200",2016-09-26,5431.299805,5436.100098,5407.600098,5431.399902
"58","Australia","ASX 200",2016-09-23,5374.5,5434.299805,5373.899902,5431.299805
"59","Australia","ASX 200",2016-09-22,5339.600098,5391.899902,5339.600098,5374.5
"60","Australia","ASX 200",2016-09-21,5303.600098,5345.5,5303.100098,5339.600098
"61","Australia","ASX 200",2016-09-20,5294.799805,5307.600098,5276.299805,5303.600098
"62","Australia","ASX 200",2016-09-19,5296.700195,5301.200195,5273,5294.799805
"63","Australia","ASX 200",2016-09-16,5239.899902,5306.100098,5239.899902,5296.700195
"64","Australia","ASX 200",2016-09-15,5227.700195,5242.5,5204,5239.899902
"65","Australia","ASX 200",2016-09-14,5207.799805,5230.600098,5192.200195,5227.700195
"66","Australia","ASX 200",2016-09-13,5219.600098,5276.100098,5207.799805,5207.799805
"67","Australia","ASX 200",2016-09-12,5339.200195,5339.200195,5215,5219.600098
"68","Australia","ASX 200",2016-09-09,5385.799805,5385.799805,5332.399902,5339.200195
"69","Australia","ASX 200",2016-09-08,5424.200195,5424.200195,5358,5385.799805
"70","Australia","ASX 200",2016-09-07,5413.600098,5440.200195,5410.600098,5424.200195
"71","Australia","ASX 200",2016-09-06,5429.600098,5430.299805,5404.399902,5413.600098
"72","Australia","ASX 200",2016-09-05,5372.799805,5431.100098,5372.799805,5429.600098
"73","Australia","ASX 200",2016-09-02,5415.600098,5418.899902,5361.700195,5372.799805
"74","Australia","ASX 200",2016-09-01,5433,5433,5405.700195,5415.600098
"75","Australia","ASX 200",2016-08-31,5478.299805,5478.299805,5412.600098,5433
"76","Australia","ASX 200",2016-08-30,5469.200195,5504,5469.200195,5478.299805
"77","Australia","ASX 200",2016-08-29,5515.5,5516.700195,5452.299805,5469.200195
"78","Australia","ASX 200",2016-08-26,5541.899902,5544.399902,5513.700195,5515.5
"79","Australia","ASX 200",2016-08-25,5561.700195,5562.399902,5535.399902,5541.899902
"80","Australia","ASX 200",2016-08-24,5553.799805,5569.100098,5552.5,5561.700195
"81","Australia","ASX 200",2016-08-23,5515.100098,5574,5515.100098,5553.799805
"82","Australia","ASX 200",2016-08-22,5526.700195,5537.399902,5508.700195,5515.100098
"83","Australia","ASX 200",2016-08-19,5507.799805,5533.100098,5504.5,5526.700195
"84","Australia","ASX 200",2016-08-18,5535,5546,5498.700195,5507.799805
"85","Australia","ASX 200",2016-08-17,5532,5537.899902,5506.700195,5535
"86","Australia","ASX 200",2016-08-16,5540,5549.799805,5530.100098,5532
"87","Australia","ASX 200",2016-08-15,5530.899902,5545.200195,5510.799805,5540
"88","Australia","ASX 200",2016-08-12,5508,5549.100098,5506.200195,5530.899902
"89","Australia","ASX 200",2016-08-11,5543.700195,5543.700195,5483.700195,5508
"90","Australia","ASX 200",2016-08-10,5552.5,5552.5,5513.200195,5543.700195
"91","Australia","ASX 200",2016-08-09,5537.799805,5553.799805,5536.200195,5552.5
"92","Australia","ASX 200",2016-08-08,5497.399902,5549.600098,5497.399902,5537.799805
"93","Australia","ASX 200",2016-08-05,5475.799805,5512.5,5475.799805,5497.399902
"94","Australia","ASX 200",2016-08-04,5465.700195,5509.200195,5465.700195,5475.799805
"95","Australia","ASX 200",2016-08-03,5539.299805,5539.299805,5465.700195,5465.700195
"96","Australia","ASX 200",2016-08-02,5587.399902,5592.100098,5539.299805,5540.5
"97","Australia","ASX 200",2016-08-01,5562.399902,5611.200195,5562.399902,5587.399902
"98","Australia","ASX 200",2016-07-29,5556.600098,5570.399902,5536.899902,5562.299805
"99","Australia","ASX 200",2016-07-28,5539.700195,5564,5538.799805,5556.600098
"100","Australia","ASX 200",2016-07-27,5537.5,5564.600098,5530,5539.700195
"101","Australia","ASX 200",2016-07-26,5530.200195,5537.5,5498.200195,5537.5
"102","Australia","ASX 200",2016-07-25,5498.200195,5548.5,5498.200195,5533.600098
"103","Australia","ASX 200",2016-07-22,5512.600098,5512.600098,5477.899902,5498.200195
"104","Australia","ASX 200",2016-07-21,5488.700195,5531.899902,5488.700195,5512.399902
"105","Australia","ASX 200",2016-07-20,5451.299805,5488.700195,5439.799805,5488.700195
"106","Australia","ASX 200",2016-07-19,5458.5,5466.399902,5432.799805,5451.299805
"107","Australia","ASX 200",2016-07-18,5429.600098,5462.299805,5428.899902,5458.5
"108","Australia","ASX 200",2016-07-15,5411.600098,5452.700195,5411.600098,5429.600098
"109","Australia","ASX 200",2016-07-14,5388.5,5416,5386,5411.600098
"110","Australia","ASX 200",2016-07-13,5353.200195,5391.700195,5353.200195,5388.5
"111","Australia","ASX 200",2016-07-12,5337.100098,5391.899902,5337.100098,5353.200195
"112","Australia","ASX 200",2016-07-11,5230.5,5337.100098,5230.5,5337.100098
"113","Australia","ASX 200",2016-07-08,5227.899902,5238.299805,5217.399902,5230.5
"114","Australia","ASX 200",2016-07-07,5197.5,5244.100098,5197.5,5227.899902
"115","Australia","ASX 200",2016-07-06,5228,5228,5148.700195,5197.5
"116","Australia","ASX 200",2016-07-05,5281.799805,5282.299805,5221.100098,5228
"117","Australia","ASX 200",2016-07-04,5246.600098,5281.799805,5218.5,5281.799805
"118","Australia","ASX 200",2016-07-01,5233.399902,5278.899902,5233.399902,5246.600098
"119","Australia","ASX 200",2016-06-30,5142.399902,5247.600098,5142.399902,5233.399902
"120","Australia","ASX 200",2016-06-29,5103.299805,5156.5,5103.299805,5142.399902
"121","Australia","ASX 200",2016-06-28,5137.200195,5137.200195,5051.100098,5103.299805
"122","Australia","ASX 200",2016-06-27,5113.200195,5154.899902,5051,5137.200195
"123","Australia","ASX 200",2016-06-24,5280.700195,5325.399902,5080,5113.200195
"124","Australia","ASX 200",2016-06-23,5271,5292.799805,5269.399902,5280.700195
"125","Australia","ASX 200",2016-06-22,5274.399902,5297.799805,5259.299805,5270.899902
"126","Australia","ASX 200",2016-06-21,5256.799805,5290,5252.299805,5274.399902
"127","Australia","ASX 200",2016-06-20,5162.700195,5256.799805,5162.700195,5256.799805
"128","Australia","ASX 200",2016-06-17,5146,5178.399902,5146,5162.700195
"129","Australia","ASX 200",2016-06-16,5147.100098,5198.899902,5141,5146
"130","Australia","ASX 200",2016-06-15,5203.299805,5203.299805,5147.100098,5147.100098
"131","Australia","ASX 200",2016-06-14,5312.600098,5312.600098,5197.399902,5203.299805
"132","Australia","ASX 200",2016-06-10,5361.899902,5361.899902,5294.200195,5312.600098
"133","Australia","ASX 200",2016-06-09,5370,5386,5336,5361.899902
"134","Australia","ASX 200",2016-06-08,5371,5375.5,5335.200195,5370
"135","Australia","ASX 200",2016-06-07,5360.100098,5392.5,5360.100098,5371
"136","Australia","ASX 200",2016-06-06,5318.899902,5374.899902,5317.100098,5360.399902
"137","Australia","ASX 200",2016-06-03,5278.899902,5324.299805,5278.899902,5318.899902
"138","Australia","ASX 200",2016-06-02,5323.200195,5327.799805,5270.899902,5278.899902
"139","Australia","ASX 200",2016-06-01,5378.600098,5378.600098,5306.299805,5323.200195
"140","Australia","ASX 200",2016-05-31,5408,5408,5365.299805,5378.600098
"141","Australia","ASX 200",2016-05-30,5405.899902,5415,5391.5,5408
"142","Australia","ASX 200",2016-05-27,5388.100098,5427.700195,5388.100098,5405.899902
"143","Australia","ASX 200",2016-05-26,5372.5,5402.700195,5354.100098,5388.100098
"144","Australia","ASX 200",2016-05-25,5295.600098,5394.399902,5295.600098,5372.5
"145","Australia","ASX 200",2016-05-24,5318.899902,5324,5295.600098,5295.600098
"146","Australia","ASX 200",2016-05-23,5351.299805,5364.600098,5297.5,5318.899902
"147","Australia","ASX 200",2016-05-20,5323.299805,5366,5320.299805,5351.299805
"148","Australia","ASX 200",2016-05-19,5356.200195,5371.100098,5303.100098,5323.299805
"149","Australia","ASX 200",2016-05-18,5395.899902,5395.899902,5347.100098,5356.200195
"150","Australia","ASX 200",2016-05-17,5358.899902,5395.899902,5358.899902,5395.899902
"151","Australia","ASX 200",2016-05-16,5329,5371.100098,5319.799805,5358.899902
"152","Australia","ASX 200",2016-05-13,5359.299805,5371.700195,5309,5329
"153","Australia","ASX 200",2016-05-12,5372.299805,5372.299805,5337.600098,5359.299805
"154","Australia","ASX 200",2016-05-11,5342.799805,5425.200195,5342.799805,5372.299805
"155","Australia","ASX 200",2016-05-10,5320.700195,5343.200195,5288.399902,5342.799805
"156","Australia","ASX 200",2016-05-09,5292,5321.399902,5264.399902,5320.700195
"157","Australia","ASX 200",2016-05-06,5281.600098,5292,5200.299805,5292
"158","Australia","ASX 200",2016-05-05,5271.100098,5294.100098,5249.799805,5279.100098
"159","Australia","ASX 200",2016-05-04,5353.799805,5353.799805,5271.100098,5271.100098
"160","Australia","ASX 200",2016-05-03,5243,5357,5217.399902,5353.799805
"161","Australia","ASX 200",2016-05-02,5252.200195,5252.200195,5182.200195,5243
