"","C_COUNTRY","C_CITY","C_DATE","C_AVG_TEMP","C_MAX_TEMP","C_MIN_TEMP","C_RAINFULL","C_RAIN","C_SNOW","C_STORM","C_FOG"
"1","Thailand","Bangkok",2011-01-01,25.9,32.4,19.4,"0",0,0,0,0
"2","Thailand","Bangkok",2011-01-01,25.9,32.4,19.4,"0",0,0,0,0
"3","Thailand","Bangkok",2011-01-02,27.2,32.7,21.4,"0",0,0,0,0
"4","Thailand","Bangkok",2011-01-02,27.2,32.7,21.4,"0",0,0,0,0
"5","Thailand","Bangkok",2011-01-03,27.8,33.3,22.8,"0",0,0,0,0
"6","Thailand","Bangkok",2011-01-03,27.8,33.3,22.8,"0",0,0,0,0
"7","Thailand","Bangkok",2011-01-04,28.3,33.8,23.3,"0",0,0,0,0
"8","Thailand","Bangkok",2011-01-04,28.3,33.8,23.3,"0",0,0,0,0
"9","Thailand","Bangkok",2011-01-05,28.3,33.2,23.8,"0",0,0,0,0
"10","Thailand","Bangkok",2011-01-05,28.3,33.2,23.8,"0",0,0,0,0
"11","Thailand","Bangkok",2011-01-06,29.1,33.4,25,"0",0,0,0,0
"12","Thailand","Bangkok",2011-01-06,29.1,33.4,25,"0",0,0,0,0
"13","Thailand","Bangkok",2011-01-07,27.3,31.9,24.5,"0",0,0,0,0
"14","Thailand","Bangkok",2011-01-07,27.3,31.9,24.5,"0",0,0,0,0
"15","Thailand","Bangkok",2011-01-08,26.6,31.5,23.1,"0",0,0,0,0
"16","Thailand","Bangkok",2011-01-08,26.6,31.5,23.1,"0",0,0,0,0
"17","Thailand","Bangkok",2011-01-09,27.3,32.6,22.1,"0",0,0,0,0
"18","Thailand","Bangkok",2011-01-09,27.3,32.6,22.1,"0",0,0,0,0
"19","Thailand","Bangkok",2011-01-10,25.9,30.6,22.1,"0",0,0,0,0
"20","Thailand","Bangkok",2011-01-10,25.9,30.6,22.1,"0",0,0,0,0
"21","Thailand","Bangkok",2011-01-11,27.2,31.5,22.1,"0",0,0,0,0
