Date	City	90#	92#	95#	0#
20161215	北京	6.00	6.41	6.82	6.05
20161215	上海	5.95	6.37	6.78	5.99
20161215	天津	5.93	6.40	6.76	6.00
20161215	南京		6.39	6.79	5.98
20161215	沈阳				
20161215	重庆	6.00	6.35	6.71	5.95
20161215	西安				
20161215	青岛				
20161215	浙江				
20161215	成都				
20161215	济南				
20161201	北京	5.67	6.06	6.45	5.68
20161201	上海	5.62	6.03	6.41	5.62
20161201	天津	5.61	6.05	6.39	5.64
20161201	南京		6.04	6.42	5.62
20161201	沈阳				
20161201	重庆	5.68	6.00	6.34	5.60
20161201	西安				
20161201	青岛				
20161201	浙江				
20161201	成都				
20161201	济南				
20161117	北京	5.54	5.92	6.30	5.53
20161117	上海	5.49	5.88	6.26	5.48
20161117	天津	5.48	5.91	6.24	5.49
20161117	南京		5.90	6.27	5.47
20161117	沈阳				
20161117	重庆	5.54	5.86	6.20	5.45
20161117	西安				
20161117	青岛				
20161117	浙江				
20161117	成都				
20161117	济南				
20161020	北京	5.81	6.21	6.61	5.84
20161020	上海	5.76	6.18	6.57	5.78
20161020	天津	5.75	6.20	6.55	5.80
20161020	南京		6.19	6.58	5.78
20161020	沈阳				
20161020	重庆	5.82	6.15	6.50	5.75
20161020	西安				
20161020	青岛				
20161020	浙江				
20161020	成都				
20161020	济南				
20160919	北京	5.55	5.93	6.31	5.55
20160919	上海	5.50	5.89	6.27	5.49
20160919	天津	5.48	5.91	6.25	5.51
20160919	南京		5.91	6.28	5.48
20160919	沈阳				
20160919	重庆	5.55	5.87	6.20	5.46
20160919	西安				
20160919	青岛				
20160919	浙江				
20160919	成都				
20160919	济南				
20160902	北京	5.66	6.05	6.44	5.68
20160902	上海	5.61	6.02	6.40	5.62
20160902	天津	5.60	6.04	6.38	5.64
20160902	南京		6.03	6.41	5.61
20160902	沈阳				
20160902	重庆	5.67	6.00	6.33	5.59
20160902	西安				
20160902	青岛				
20160902	浙江				
20160902	成都				
20160902	济南				
20160819	北京	5.51	5.89	6.27	5.50
20160819	上海	5.46	5.85	6.23	5.45
20160819	天津	5.45	5.87	6.21	5.46
20160819	南京		5.87	6.24	5.44
20160819	沈阳				
20160819	重庆	5.51	5.83	6.16	5.42
20160819	西安				
20160819	青岛				
20160819	浙江	5.44	5.87	6.24	5.46
20160819	成都				
20160819	济南				
20160805	北京	5.38	5.75	6.12	5.36
20160805	上海	5.33	5.71	6.08	5.30
20160805	天津	5.32	5.73	6.06	5.32
20160805	南京		5.73	6.09	5.30
20160805	沈阳				
20160805	重庆	5.38	5.69	6.02	5.28
20160805	西安				
20160805	青岛				
20160805	浙江	5.31	5.73	6.09	5.32
20160805	成都				
20160805	济南				
20160722	北京	5.54	5.92	6.30	5.54
20160722	上海	5.49	5.89	6.27	5.49
20160722	天津	5.48	5.91	6.24	5.50
20160722	南京		5.90	6.28	5.48
20160722	沈阳				
20160722	重庆	5.55	5.87	6.20	5.46
20160722	西安				
20160722	青岛				
20160722	浙江	5.47	5.90	6.28	5.50
20160722	成都				
20160722	济南				
20160526	北京	5.58	5.96	6.34	5.58
20160526	上海	5.53	5.92	6.30	5.52
20160526	天津	5.51	5.95	6.28	5.54
20160526	南京	5.71	5.94	6.32	5.51
20160526	沈阳				
20160526	重庆	5.58	5.90	6.24	5.49
20160526	西安				
20160526	青岛				
20160526	浙江	5.51	5.94	6.32	5.53
20160526	成都				
20160526	济南				
20160512	北京	5.42	5.79	6.16	5.41
20160512	上海	5.37	5.76	6.13	5.35
20160512	天津	5.36	5.78	6.10	5.36
20160512	南京	5.41	5.77	6.14	5.34
20160512	沈阳				
20160512	重庆	5.42	5.74	6.06	5.32
20160512	西安		5.69	6.01	5.29
20160512	青岛	5.36	5.77	6.19	5.36
20160512	浙江	5.35	5.77	6.14	5.36
20160512	成都				
20160512	济南		5.77		5.36
20160427	北京	5.33	5.69	6.06	5.31
20160427	上海	5.28	5.66	6.02	5.25
20160427	天津	5.27	5.68	6.00	5.26
20160427	南京	5.32	5.68	6.04	5.25
20160427	沈阳				
20160427	重庆	5.33	5.64	5.96	5.23
20160427	西安		5.60		5.19
20160427	青岛				
20160427	浙江	5.26	5.68	6.04	5.26
20160427	成都				
20160427	济南				
20160114	北京	5.20	5.56	5.92	5.17
20160114	上海	5.16	5.53	5.88	5.11
20160114	天津	5.14	5.55	5.86	5.13
20160114	南京	5.19	5.54		5.11
20160114	沈阳		5.40	5.75	
20160114	重庆	5.21	5.51	5.82	5.09
20160114	西安		5.47		5.05
20160114	青岛		5.54	5.94	4.99
20160114	浙江	5.14	5.54	5.90	5.13
20160114	成都	5.14	5.48	5.91	5.11
20160114	济南		5.54	5.94	4.99
20151202	北京	5.31	5.67	6.04	5.28
20151202	上海	5.26	5.64	6.00	5.23
20151202	天津	5.25	5.66	5.98	5.24
20151202	南京	5.30	5.66		5.22
20151202	沈阳		5.51	5.87	
20151202	重庆	5.32	5.62	5.94	5.20
20151202	西安		5.58		5.17
20151202	青岛		5.52	5.92	5.10
20151202	浙江	5.12	5.51	5.85	5.11
20151202	成都	5.24	5.59	6.03	5.23
20151202	济南		5.52	5.92	5.10
20151118	北京	5.42	5.79	6.16	5.41
20151118	上海	5.37	5.76	6.13	5.35
20151118	天津	5.36	5.78	6.10	5.36
20151118	南京	5.41	5.77	6.14	5.34
20151118	沈阳		5.63	6.00	5.16
20151118	重庆	5.42	5.74	6.06	5.32
20151118	西安		5.69		5.29
20151118	青岛		5.63	6.04	5.22
20151118	浙江	5.22	5.63	5.97	5.23
20151118	成都	5.35	5.71	6.15	5.34
20151118	济南		5.63	6.04	5.22
20151104	北京	5.48	5.86	6.24	5.47
20151104	上海	5.43	5.82	6.20	5.42
20151104	天津	5.42	5.85	6.18	5.43
20151104	南京	5.47	5.84	6.21	5.41
20151104	沈阳		5.69	6.07	5.23
