"","Date","City","90","92","95","0"
"1",2009-01-15,"上海",4.55,4.95,5.26,4.71
"2",2009-03-25,"上海",4.78,5.19,5.52,4.88
"3",2009-06-01,"上海",5.07,5.51,5.86,5.22
"4",2009-06-30,"上海",5.51,5.99,NA,5.73
"5",2009-07-29,"上海",5.35,5.81,6.18,5.54
"6",2009-09-02,"上海",5.57,6.05,6.44,5.8
"7",2009-09-30,"上海",5.43,5.9,6.27,5.64
"8",2009-11-10,"上海",NA,6.61,7.03,6.5
"9",2010-04-14,"上海",NA,6.87,7.3,6.77
"10",2010-06-01,"上海",NA,6.68,7.11,6.59
"11",2010-10-26,"上海",NA,6.87,7.3,6.77
"12",2010-12-22,"上海",NA,7.11,7.57,7.03
"13",2011-02-20,"上海",NA,7.39,7.87,7.33
"14",2011-04-07,"上海",NA,7.79,8.29,7.67
"15",2011-10-09,"上海",NA,7.55,8.03,7.42
"16",2012-02-08,"上海",NA,7.79,8.3,7.67
"17",2012-03-20,"上海",NA,8.27,8.8,8.19
"18",2012-05-10,"上海",7.5,8.01,8.52,7.92
"19",2012-06-09,"上海",7.1,7.58,8.07,7.48
"20",2012-07-11,"上海",6.79,7.25,7.71,7.14
"21",2012-08-10,"上海",7.08,7.56,8.04,7.46
"22",2012-09-11,"上海",7.49,8,8.51,7.92
"23",2012-11-16,"上海",7.26,7.75,8.24,7.66
"24",2013-02-25,"上海",7.48,7.99,8.5,7.91
"25",2013-03-27,"上海",7.25,7.74,8.24,7.65
"26",2013-04-25,"上海",6.96,7.43,7.9,7.31
"27",2013-05-10,"上海",7.03,7.5,7.98,7.39
"28",2013-06-07,"上海",6.96,7.43,7.9,7.32
"29",2013-06-21,"上海",7.03,7.51,7.99,7.4
"30",2013-07-06,"上海",6.97,7.44,7.92,7.33
"31",2013-07-20,"上海",7.21,7.7,8.19,7.6
"32",2013-08-31,"上海",NA,7.89,8.39,7.79
"33",2013-09-14,"上海",7.46,7.96,8.47,7.86
"34",2013-09-30,"上海",7.27,7.77,8.26,7.66
"35",2013-11-01,"上海",7.26,7.75,8.24,7.64
"36",2013-11-15,"上海",7.13,7.63,8.11,7.52
"37",2013-11-29,"上海",7.25,7.77,8.26,7.66
"38",2013-12-13,"上海",7.29,7.82,8.32,7.72
"39",2014-01-11,"上海",7.2,7.72,8.21,7.63
"40",2014-01-25,"上海",7.1,7.61,8.1,7.53
"41",2014-02-27,"上海",7.26,7.78,8.28,7.7
"42",2014-03-27,"上海",7.16,7.67,8.16,7.59
"43",2014-04-25,"上海",7.27,7.79,8.29,7.72
"44",2014-05-09,"上海",7.23,7.75,8.25,7.67
"45",2014-05-23,"上海",NA,7.81,8.31,7.73
"46",2014-06-24,"上海",7.41,7.94,8.45,7.87
"47",2014-07-22,"上海",7.26,7.75,8.24,7.67
"48",2014-08-19,"上海",NA,7.59,8.08,7.51
"49",2014-09-02,"上海",7.01,7.51,7.99,7.42
"50",2014-09-17,"上海",NA,7.4,7.87,7.31
"51",2014-09-30,"上海",6.83,7.32,7.79,7.22
"52",2014-10-18,"上海",6.6,7.08,7.53,6.98
"53",2014-11-01,"上海",6.42,6.88,7.32,6.77
"54",2014-11-15,"上海",NA,6.73,7.16,6.62
"55",2014-12-13,"上海",NA,6.59,7.02,6.27
"56",2014-12-27,"上海",NA,6.18,6.57,5.84
"57",2015-01-13,"上海",5.63,6.03,6.42,5.65
"58",2015-01-27,"上海",NA,5.74,NA,5.34
"59",2015-02-10,"上海",NA,5.97,6.36,5.59
"60",2015-02-28,"上海",5.86,6.28,6.69,5.91
"61",2015-03-27,"上海",5.68,6.09,6.48,5.71
"62",2015-04-11,"上海",NA,6.19,6.59,5.81
"63",2015-04-25,"上海",NA,6.43,6.84,6.05
"64",2015-05-12,"上海",NA,6.63,7.06,6.27
"65",2015-06-09,"上海",6.11,6.55,6.96,6.17
"66",2015-07-08,"上海",6.04,6.47,6.88,6.1
"67",2015-07-22,"上海",5.84,6.26,6.66,5.87
"68",2015-08-05,"上海",5.67,6.08,6.47,5.68
"69",2015-08-19,"上海",NA,5.91,6.29,5.51
"70",2015-09-02,"上海",5.42,5.81,6.19,5.4
"71",2015-09-17,"上海",5.49,5.88,6.26,5.49
"72",2015-10-21,"上海",5.53,5.92,6.3,5.53
"73",2015-11-04,"上海",5.43,5.82,6.2,5.42
"74",2015-11-18,"上海",5.37,5.76,6.13,5.35
"75",2015-12-02,"上海",5.26,5.64,6,5.23
"76",2016-01-14,"上海",5.16,5.53,5.88,5.11
"77",2016-04-27,"上海",5.28,5.66,6.02,5.25
"78",2016-05-12,"上海",5.37,5.76,6.13,5.35
"79",2016-05-26,"上海",5.53,5.92,6.3,5.52
"80",2016-07-22,"上海",5.49,5.89,6.27,5.49
"81",2016-08-05,"上海",5.33,5.71,6.08,5.3
"82",2016-08-19,"上海",5.46,5.85,6.23,5.45
"83",2016-09-02,"上海",5.61,6.02,6.4,5.62
"84",2016-09-19,"上海",5.5,5.89,6.27,5.49
"85",2016-10-20,"上海",5.76,6.18,6.57,5.78
"86",2016-11-17,"上海",5.49,5.88,6.26,5.48
"87",2016-12-01,"上海",5.62,6.03,6.41,5.62
"88",2016-12-15,"上海",5.95,6.37,6.78,5.99
"89",2009-01-15,"北京",4.99,5.33,5.68,5.26
"90",2009-03-25,"北京",5.21,5.56,5.92,5.42
"91",2009-06-01,"北京",5.51,5.89,6.27,5.76
"92",2009-06-30,"北京",NA,6.37,6.78,6.28
"93",2009-07-29,"北京",NA,6.19,6.59,6.09
"94",2009-09-02,"北京",NA,6.43,6.85,6.35
"95",2009-09-30,"北京",6.28,6.68,7.23,6.19
"96",2009-11-10,"北京",NA,6.66,7.09,6.6
"97",2010-04-14,"北京",NA,6.92,7.37,6.88
"98",2010-06-01,"北京",NA,6.74,7.17,6.69
"99",2010-10-26,"北京",NA,6.92,7.37,6.88
"100",2010-12-22,"北京",NA,7.17,7.63,7.14
"101",2011-02-20,"北京",NA,7.45,7.93,7.44
"102",2011-04-07,"北京",NA,7.85,8.36,7.79
"103",2011-10-09,"北京",7.13,7.63,8.1,7.53
"104",2012-02-08,"北京",NA,7.85,8.36,7.79
"105",2012-03-20,"北京",NA,8.33,8.87,8.31
"106",2012-05-10,"北京",7.55,8.07,8.59,8.04
"107",2012-06-09,"北京",7.16,7.64,8.14,7.6
"108",2012-07-11,"北京",6.84,7.31,7.78,7.25
"109",2012-08-10,"北京",7.13,7.62,8.11,7.57
"110",2012-09-11,"北京",7.55,8.06,8.58,8.04
"111",2012-11-16,"北京",7.31,7.81,8.32,7.78
"112",2013-02-25,"北京",7.54,8.05,8.57,8.03
"113",2013-03-27,"北京",7.31,7.8,8.31,7.77
"114",2013-04-25,"北京",7.01,7.49,7.97,7.43
"115",2013-05-10,"北京",7.08,7.56,8.05,7.51
"116",2013-06-07,"北京",7.01,7.49,7.97,7.43
"117",2013-06-21,"北京",7.08,7.57,8.06,7.51
"118",2013-07-06,"北京",7.02,7.5,7.99,7.45
"119",2013-07-20,"北京",NA,7.75,8.05,7.72
"120",2013-08-31,"北京",NA,7.95,8.47,NA
"121",2013-09-14,"北京",NA,8.03,8.54,7.98
"122",2013-09-30,"北京",7.33,7.83,8.33,7.78
"123",2013-11-01,"北京",7.31,7.81,8.31,7.76
"124",2013-11-15,"北京",7.19,7.68,8.18,7.63
"125",2013-11-29,"北京",7.31,7.81,8.31,7.76
"126",2013-12-13,"北京",7.35,7.86,8.36,7.81
"127",2014-01-11,"北京",NA,7.76,8.26,7.71
"128",2014-01-25,"北京",NA,7.65,8.15,7.6
"129",2014-02-27,"北京",7.32,7.82,8.32,7.76
"130",2014-03-27,"北京",7.22,7.71,8.21,7.66
"131",2014-04-25,"北京",7.33,7.83,8.34,7.79
"132",2014-05-09,"北京",7.29,7.79,8.3,7.74
"133",2014-05-23,"北京",NA,7.85,8.36,7.8
"134",2014-06-24,"北京",NA,7.98,8.5,7.94
"135",2014-07-22,"北京",NA,7.78,8.29,7.74
"136",2014-08-19,"北京",NA,7.63,8.12,7.58
"137",2014-09-02,"北京",NA,7.55,8.03,7.49
"138",2014-09-17,"北京",NA,7.44,7.92,7.37
"139",2014-09-30,"北京",NA,7.36,7.83,7.29
"140",2014-10-18,"北京",7.31,7.11,7.57,7.04
"141",2014-11-01,"北京",NA,6.92,7.36,6.84
"142",2014-11-15,"北京",NA,6.76,7.2,6.68
"143",2014-12-13,"北京",NA,6.63,7.06,6.34
"144",2014-12-27,"北京",NA,6.21,6.61,5.9
"145",2015-01-13,"北京",NA,6.07,6.46,5.7
"146",2015-01-27,"北京",NA,5.77,6.15,5.4
"147",2015-02-10,"北京",NA,6.01,6.39,5.64
"148",2015-02-28,"北京",NA,6.32,6.73,5.97
"149",2015-03-27,"北京",NA,6.13,6.52,5.77
"150",2015-04-11,"北京",NA,6.22,6.62,5.87
"151",2015-04-25,"北京",NA,6.46,6.88,6.11
"152",2015-05-12,"北京",NA,6.67,7.1,6.33
"153",2015-06-09,"北京",6.16,6.58,7,6.24
"154",2015-07-08,"北京",NA,6.5,6.92,6.16
"155",2015-07-22,"北京",NA,6.29,6.7,5.93
"156",2015-08-05,"北京",NA,6.11,6.51,5.74
"157",2015-08-19,"北京",NA,5.95,6.33,5.57
"158",2015-09-02,"北京",NA,5.85,6.22,5.47
"159",2015-09-17,"北京",NA,5.92,6.3,5.54
"160",2015-10-21,"北京",5.58,5.96,6.34,5.58
"161",2015-11-04,"北京",5.48,5.86,6.24,5.47
"162",2015-11-18,"北京",5.42,5.79,6.16,5.41
