Time,Field,Curde_THB,Curde_USD,Condensate_USD,Condensate_THB,Gas_THB,Gas_USD,LPG_HB,LPG_USD
2013-01-01,Arthit,-,-,3119.9569,104.966,253.2221,8.4359,-,-
2013-01-01,Baanpot,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Bauluang,3179.6935,106.837,-,-,-,-,-,-
2013-01-01,Benchamas,3362.3835,112.437,-,-,172.1849,5.6668,-,-
2013-01-01,Benchamas North,3362.3835,112.437,-,-,174.4345,5.7408,-,-
2013-01-01,Bongkot,-,-,3001.8506,100.9925,242.8576,7.9927,-,-
2013-01-01,Bongkot South,-,-,3011.5055,100.9925,285.8056,9.4061,-,-
2013-01-01,Borang North,2828.2926,94.2224,-,-,-,-,-,-
2013-01-01,Bung Maung,3049.4684,101.5907,-,-,-,-,-,-
2013-01-01,Bung Ya Nongsa,3069.4998,102.0907,-,-,-,-,-,-
2013-01-01,Burapa,3069.4508,102.2564,-,-,-,-,-,-
2013-01-01,Chaba,3351.5558,112.437,-,-,176.727,5.8162,-,-
2013-01-01,Erawan,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Funan,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Gomin,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Jakrawan,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Jarmjuree North,3362.3835,112.437,-,-,176.5954,5.8119,-,-
2013-01-01,Jasmine,3203.2557,107.6873,-,-,-,-,-,-
2013-01-01,Kamphaengsaen,3028.5734,100.8946,-,-,-,-,-,-
2013-01-01,Kaphong,3294.3205,111.05,-,-,228.8327,7.6234,-,-
2013-01-01,Kaphong 10A,3294.3205,111.05,-,-,228.8327,7.6234,-,-
2013-01-01,L33,2907.2108,96.8515,-,-,-,-,-,-
2013-01-01,L53A,2933.5539,97.7291,-,-,-,-,-,-
2013-01-01,L53D,2989.7221,99.6003,-,-,-,-,-,-
2013-01-01,Lanta,3362.3835,112.437,-,-,174.7035,5.753,-,-
2013-01-01,Maliwan,3362.3835,112.437,-,-,174.7121,5.7499,-,-
2013-01-01,Morakot,-,-,3133.1267,105.3297,263.144,8.7664,-,-
2013-01-01,N Kung,3294.3205,111.05,-,-,228.8327,7.6234,-,-
2013-01-01,Na sanun East,2966.1676,98.8156,-,-,-,-,-,-
2013-01-01,NamPhong,-,-,-,-,231.4446,7.6215,-,-
2013-01-01,Nong Phuk Chi_A,3028.5734,100.8946,-,-,-,-,-,-
2013-01-01,North Pailin,-,-,3133.1267,105.3297,263.144,8.7664,-,-
2013-01-01,Pailin,-,-,3133.1267,105.3297,263.144,8.7664,-,-
2013-01-01,Pakarang,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Pakarang South,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Pladang,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Plamuk,3294.3205,111.05,-,-,228.8327,7.6234,-,-
2013-01-01,platong,3294.3205,111.05,3216.5595,107.8691,228.8327,7.6234,-,-
2013-01-01,Rajapurek,3380.1078,113.687,-,-,174.9203,5.7602,-,-
2013-01-01,S Baanpot,-,-,3216.5595,107.8691,228.8327,7.6234,-,-
