"","Date","Price","Country"
"1",2013-02-25,7.99,"China"
"2",2013-03-27,7.74,"China"
"3",2013-04-25,7.43,"China"
"4",2013-05-10,7.5,"China"
"5",2013-06-07,7.43,"China"
"6",2013-06-21,7.51,"China"
"7",2013-07-06,7.44,"China"
"8",2013-07-20,7.7,"China"
"9",2013-08-31,7.89,"China"
"10",2013-09-14,7.96,"China"
"11",2013-09-30,7.77,"China"
"12",2013-11-01,7.75,"China"
"13",2013-11-15,7.63,"China"
"14",2013-11-29,7.77,"China"
"15",2013-12-13,7.82,"China"
"16",2014-01-11,7.72,"China"
"17",2014-01-25,7.61,"China"
"18",2014-02-27,7.78,"China"
"19",2014-03-27,7.67,"China"
"20",2014-04-25,7.79,"China"
"21",2014-05-09,7.75,"China"
"22",2014-05-23,7.81,"China"
"23",2014-06-24,7.94,"China"
"24",2014-07-22,7.75,"China"
"25",2014-08-19,7.59,"China"
"26",2014-09-02,7.51,"China"
"27",2014-09-17,7.4,"China"
"28",2014-09-30,7.32,"China"
"29",2014-10-18,7.08,"China"
"30",2014-11-01,6.88,"China"
"31",2014-11-15,6.73,"China"
"32",2014-12-13,6.59,"China"
"33",2014-12-27,6.18,"China"
"34",2015-01-13,6.03,"China"
"35",2015-01-27,5.74,"China"
"36",2015-02-10,5.97,"China"
"37",2015-02-28,6.28,"China"
"38",2015-03-27,6.09,"China"
"39",2015-04-11,6.19,"China"
"40",2015-04-25,6.43,"China"
"41",2015-05-12,6.63,"China"
"42",2015-06-09,6.55,"China"
"43",2015-07-08,6.47,"China"
"44",2015-07-22,6.26,"China"
"45",2015-08-05,6.08,"China"
"46",2015-08-19,5.91,"China"
"47",2015-09-02,5.81,"China"
"48",2015-09-17,5.88,"China"
"49",2015-10-21,5.92,"China"
"50",2015-11-04,5.82,"China"
"51",2015-11-18,5.76,"China"
"52",2015-12-02,5.64,"China"
"53",2016-01-14,5.53,"China"
"54",2016-04-27,5.66,"China"
"55",2016-05-12,5.76,"China"
"56",2016-05-26,5.92,"China"
"57",2016-07-22,5.89,"China"
"58",2016-08-05,5.71,"China"
"59",2016-08-19,5.85,"China"
"60",2016-09-02,6.02,"China"
"61",2016-09-19,5.89,"China"
"62",2016-10-20,6.18,"China"
"63",2016-11-17,5.88,"China"
"64",2016-12-01,6.03,"China"
"65",2016-12-15,6.37,"China"
"66",2013-01-01,220.85522173913,"Thailand"
"67",2013-02-01,220.149717391304,"Thailand"
"68",2013-03-01,222.325054347826,"Thailand"
"69",2013-04-01,212.097536956522,"Thailand"
"70",2013-05-01,211.791817021277,"Thailand"
"71",2013-06-01,214.508684782609,"Thailand"
"72",2013-07-01,216.507504255319,"Thailand"
"73",2013-08-01,214.918123404255,"Thailand"
"74",2013-09-01,212.798580851064,"Thailand"
"75",2013-10-01,213.403947916667,"Thailand"
"76",2013-11-01,217.55440625,"Thailand"
"77",2013-12-01,219.66658125,"Thailand"
"78",2014-01-01,216.889640816327,"Thailand"
"79",2014-02-01,216.379895918367,"Thailand"
"80",2014-03-01,216.149534693878,"Thailand"
"81",2014-04-01,215.873557142857,"Thailand"
"82",2014-05-01,212.125422,"Thailand"
"83",2014-06-01,216.242532653061,"Thailand"
"84",2014-07-01,213.457863265306,"Thailand"
"85",2014-08-01,208.235544680851,"Thailand"
"86",2014-09-01,208.1993,"Thailand"
