"","Date","Holiday","Information.Reliability","District","Country"
"1",2012-01-01,"New Year's Day","Unofficial","National","China"
"2",2012-01-22,"Chinese New Year","Unofficial","National","China"
"3",2012-01-23,"Chinese New Year","Unofficial","National","China"
"4",2012-01-24,"Chinese New Year","Unofficial","National","China"
"5",2012-01-25,"Chinese New Year","Unofficial","National","China"
"6",2012-01-26,"Chinese New Year","Unofficial","National","China"
"7",2012-01-27,"Chinese New Year","Unofficial","National","China"
"8",2012-01-28,"Chinese New Year","Unofficial","National","China"
"9",2012-04-02,"Tomb-sweeping Day","Unofficial","National","China"
"10",2012-04-03,"Tomb-sweeping Day","Unofficial","National","China"
"11",2012-04-04,"Tomb-sweeping Day","Unofficial","National","China"
"12",2012-04-29,"Labour Day","Unofficial","National","China"
"13",2012-04-30,"Labour Day","Unofficial","National","China"
"14",2012-05-01,"Labour Day","Unofficial","National","China"
"15",2012-06-22,"Dragon Boat Festival","Unofficial","National","China"
"16",2012-06-23,"Dragon Boat Festival","Unofficial","National","China"
"17",2012-06-24,"Dragon Boat Festival","Unofficial","National","China"
"18",2012-09-30,"Mid-autumn festival","Unofficial","National","China"
"19",2012-10-01,"Mid-autumn festival","Unofficial","National","China"
"20",2012-10-02,"Mid-autumn festival","Unofficial","National","China"
"21",2012-10-03,"National Day","Unofficial","National","China"
"22",2012-10-04,"National Day","Unofficial","National","China"
"23",2012-10-05,"National Day","Unofficial","National","China"
"24",2012-10-06,"National Day","Unofficial","National","China"
"25",2012-10-07,"National Day","Unofficial","National","China"
"26",2013-01-01,"New Year's Day","Unofficial","National","China"
"27",2013-02-09,"Chinese New Year","Unofficial","National","China"
"28",2013-02-10,"Chinese New Year","Unofficial","National","China"
"29",2013-02-11,"Chinese New Year","Unofficial","National","China"
"30",2013-02-12,"Chinese New Year","Unofficial","National","China"
"31",2013-02-13,"Chinese New Year","Unofficial","National","China"
"32",2013-02-14,"Chinese New Year","Unofficial","National","China"
"33",2013-02-15,"Chinese New Year","Unofficial","National","China"
"34",2013-04-04,"Tomb-sweeping Day","Unofficial","National","China"
"35",2013-04-05,"Tomb-sweeping Day","Unofficial","National","China"
"36",2013-04-06,"Tomb-sweeping Day","Unofficial","National","China"
"37",2013-04-29,"Labour Day","Unofficial","National","China"
"38",2013-04-30,"Labour Day","Unofficial","National","China"
"39",2013-05-01,"Labour Day","Unofficial","National","China"
"40",2013-06-10,"Dragon Boat Festival","Unofficial","National","China"
"41",2013-06-11,"Dragon Boat Festival","Unofficial","National","China"
"42",2013-06-12,"Dragon Boat Festival","Unofficial","National","China"
"43",2013-09-19,"Mid-autumn festival","Unofficial","National","China"
"44",2013-09-20,"Mid-autumn festival","Unofficial","National","China"
"45",2013-09-21,"Mid-autumn festival","Unofficial","National","China"
"46",2013-10-01,"National Day","Unofficial","National","China"
"47",2013-10-02,"National Day","Unofficial","National","China"
"48",2013-10-03,"National Day","Unofficial","National","China"
"49",2013-10-04,"National Day","Unofficial","National","China"
"50",2013-10-05,"National Day","Unofficial","National","China"
"51",2014-01-01,"New Year's Day","Unofficial","National","China"
"52",2014-01-31,"Chinese New Year","Unofficial","National","China"
