Date	Open	High	Low	Close	Index	Country
12-30-2016	5699.10	5699.10	5665.80	5665.80	S&P/ASX 200	Austrilia
12-29-2016	5685.00	5699.10	5659.00	5699.10	S&P/ASX 200	Austrilia
12-28-2016	5627.90	5693.80	5627.90	5685.00	S&P/ASX 200	Austrilia
12-23-2016	5643.90	5649.80	5619.10	5627.90	S&P/ASX 200	Austrilia
12-22-2016	5613.50	5644.20	5603.40	5643.90	S&P/ASX 200	Austrilia
12-21-2016	5591.10	5628.00	5591.10	5613.50	S&P/ASX 200	Austrilia
12-20-2016	5562.10	5606.80	5557.10	5591.10	S&P/ASX 200	Austrilia
12-19-2016	5532.90	5577.90	5530.90	5562.10	S&P/ASX 200	Austrilia
12-16-2016	5538.60	5549.90	5510.00	5532.90	S&P/ASX 200	Austrilia
12-15-2016	5584.60	5584.60	5517.90	5538.60	S&P/ASX 200	Austrilia
12-14-2016	5545.00	5595.70	5545.00	5584.60	S&P/ASX 200	Austrilia
12-13-2016	5562.80	5573.70	5543.50	5545.00	S&P/ASX 200	Austrilia
12-12-2016	5560.60	5583.20	5552.50	5562.80	S&P/ASX 200	Austrilia
12-9-2016	5543.60	5566.10	5541.30	5560.60	S&P/ASX 200	Austrilia
12-8-2016	5478.10	5550.20	5478.10	5543.60	S&P/ASX 200	Austrilia
12-7-2016	5428.70	5478.10	5428.70	5478.10	S&P/ASX 200	Austrilia
12-6-2016	5400.40	5451.30	5400.40	5428.70	S&P/ASX 200	Austrilia
12-5-2016	5444.00	5444.00	5383.80	5400.40	S&P/ASX 200	Austrilia
12-2-2016	5500.20	5500.20	5444.00	5444.00	S&P/ASX 200	Austrilia
12-1-2016	5440.50	5500.20	5440.50	5500.20	S&P/ASX 200	Austrilia
11-30-2016	5457.50	5458.10	5423.20	5440.50	S&P/ASX 200	Austrilia
11-29-2016	5464.40	5486.60	5453.30	5457.50	S&P/ASX 200	Austrilia
11-28-2016	5507.80	5507.80	5464.40	5464.40	S&P/ASX 200	Austrilia
11-25-2016	5485.10	5520.90	5478.90	5507.80	S&P/ASX 200	Austrilia
11-24-2016	5484.40	5503.30	5471.80	5485.10	S&P/ASX 200	Austrilia
11-23-2016	5413.30	5488.50	5413.30	5484.40	S&P/ASX 200	Austrilia
11-22-2016	5351.30	5425.50	5351.30	5413.30	S&P/ASX 200	Austrilia
11-21-2016	5359.40	5364.00	5334.90	5351.30	S&P/ASX 200	Austrilia
11-18-2016	5338.50	5366.40	5338.50	5359.40	S&P/ASX 200	Austrilia
11-17-2016	5327.70	5344.70	5286.20	5338.50	S&P/ASX 200	Austrilia
11-16-2016	5326.20	5346.70	5320.30	5327.70	S&P/ASX 200	Austrilia
11-15-2016	5345.70	5345.70	5303.30	5326.20	S&P/ASX 200	Austrilia
11-14-2016	5370.70	5370.70	5315.30	5345.70	S&P/ASX 200	Austrilia
11-11-2016	5328.80	5370.70	5328.80	5370.70	S&P/ASX 200	Austrilia
11-10-2016	5156.60	5328.80	5156.60	5328.80	S&P/ASX 200	Austrilia
11-9-2016	5257.80	5314.10	5052.10	5156.60	S&P/ASX 200	Austrilia
11-8-2016	5250.80	5282.40	5244.30	5257.80	S&P/ASX 200	Austrilia
11-7-2016	5180.80	5251.90	5180.80	5250.80	S&P/ASX 200	Austrilia
11-4-2016	5225.60	5225.60	5178.00	5180.80	S&P/ASX 200	Austrilia
11-3-2016	5229.00	5241.20	5201.50	5225.60	S&P/ASX 200	Austrilia
11-2-2016	5290.50	5290.50	5207.70	5229.00	S&P/ASX 200	Austrilia
11-1-2016	5317.70	5317.70	5271.70	5290.50	S&P/ASX 200	Austrilia
10-31-2016	5283.80	5329.10	5277.70	5317.70	S&P/ASX 200	Austrilia
10-28-2016	5295.50	5311.40	5261.40	5283.80	S&P/ASX 200	Austrilia
10-27-2016	5359.80	5374.20	5295.50	5295.50	S&P/ASX 200	Austrilia
10-26-2016	5442.80	5442.80	5340.70	5359.80	S&P/ASX 200	Austrilia
10-25-2016	5408.50	5455.70	5407.70	5442.80	S&P/ASX 200	Austrilia
10-24-2016	5430.30	5430.30	5377.40	5408.50	S&P/ASX 200	Austrilia
10-21-2016	5442.10	5446.90	5410.80	5430.30	S&P/ASX 200	Austrilia
10-20-2016	5435.40	5457.90	5433.10	5442.10	S&P/ASX 200	Austrilia
10-19-2016	5410.80	5438.60	5410.80	5435.40	S&P/ASX 200	Austrilia
10-18-2016	5388.70	5417.50	5386.10	5410.80	S&P/ASX 200	Austrilia
10-17-2016	5434.00	5441.20	5388.70	5388.70	S&P/ASX 200	Austrilia
10-14-2016	5435.50	5447.20	5430.30	5434.00	S&P/ASX 200	Austrilia
10-13-2016	5474.60	5474.60	5420.80	5435.50	S&P/ASX 200	Austrilia
10-12-2016	5479.80	5479.80	5433.60	5474.60	S&P/ASX 200	Austrilia
10-11-2016	5475.40	5498.00	5474.40	5479.80	S&P/ASX 200	Austrilia
10-10-2016	5467.40	5494.70	5467.40	5475.40	S&P/ASX 200	Austrilia
10-7-2016	5483.00	5493.10	5457.20	5467.40	S&P/ASX 200	Austrilia
10-6-2016	5452.90	5485.80	5452.90	5483.00	S&P/ASX 200	Austrilia
10-5-2016	5484.00	5484.00	5439.80	5452.90	S&P/ASX 200	Austrilia
10-4-2016	5478.50	5484.00	5448.30	5484.00	S&P/ASX 200	Austrilia
10-3-2016	5435.90	5492.10	5435.90	5478.50	S&P/ASX 200	Austrilia
09-30-2016	5471.30	5471.30	5417.70	5435.90	S&P/ASX 200	Austrilia
