Date	Open	High	Low	Close	Index	Country
12-30-2016	1967.53	1973.85	1962.44	1969.11	SZSE COMPOSITE INDEX	China-Shenzhen
12-29-2016	1969.03	1979.41	1965.16	1966.24	SZSE COMPOSITE INDEX	China-Shenzhen
12-28-2016	1978.47	1982.91	1968.68	1972.35	SZSE COMPOSITE INDEX	China-Shenzhen
12-27-2016	1977.68	1985.88	1976.45	1979.73	SZSE COMPOSITE INDEX	China-Shenzhen
12-26-2016	1963.09	1978.37	1942.14	1978.37	SZSE COMPOSITE INDEX	China-Shenzhen
12-23-2016	1992.32	1993.40	1969.51	1971.06	SZSE COMPOSITE INDEX	China-Shenzhen
12-22-2016	1995.65	1996.58	1984.43	1993.37	SZSE COMPOSITE INDEX	China-Shenzhen
12-21-2016	1985.02	1996.36	1985.02	1996.03	SZSE COMPOSITE INDEX	China-Shenzhen
12-20-2016	1982.48	1984.31	1972.92	1981.32	SZSE COMPOSITE INDEX	China-Shenzhen
12-19-2016	1990.80	1990.80	1979.56	1984.10	SZSE COMPOSITE INDEX	China-Shenzhen
12-16-2016	1973.58	1993.26	1971.98	1991.64	SZSE COMPOSITE INDEX	China-Shenzhen
12-15-2016	1953.20	1985.60	1951.92	1972.90	SZSE COMPOSITE INDEX	China-Shenzhen
12-14-2016	1973.00	1980.04	1954.81	1959.86	SZSE COMPOSITE INDEX	China-Shenzhen
12-13-2016	1963.15	1982.20	1946.70	1975.88	SZSE COMPOSITE INDEX	China-Shenzhen
12-12-2016	2068.71	2069.45	1967.72	1969.33	SZSE COMPOSITE INDEX	China-Shenzhen
12-9-2016	2075.11	2079.56	2066.16	2070.01	SZSE COMPOSITE INDEX	China-Shenzhen
12-8-2016	2091.67	2091.96	2076.15	2077.37	SZSE COMPOSITE INDEX	China-Shenzhen
12-7-2016	2071.51	2090.33	2067.13	2090.33	SZSE COMPOSITE INDEX	China-Shenzhen
12-6-2016	2071.45	2078.51	2068.92	2071.44	SZSE COMPOSITE INDEX	China-Shenzhen
12-5-2016	2063.07	2084.24	2059.25	2068.17	SZSE COMPOSITE INDEX	China-Shenzhen
12-2-2016	2119.18	2120.22	2083.40	2084.49	SZSE COMPOSITE INDEX	China-Shenzhen
12-1-2016	2110.04	2119.69	2110.04	2119.69	SZSE COMPOSITE INDEX	China-Shenzhen
11-30-2016	2106.57	2116.28	2100.30	2106.91	SZSE COMPOSITE INDEX	China-Shenzhen
11-29-2016	2122.44	2131.79	2110.31	2110.36	SZSE COMPOSITE INDEX	China-Shenzhen
11-28-2016	2134.62	2136.92	2125.56	2126.82	SZSE COMPOSITE INDEX	China-Shenzhen
11-25-2016	2119.73	2129.85	2088.32	2129.85	SZSE COMPOSITE INDEX	China-Shenzhen
11-24-2016	2126.85	2133.85	2116.88	2121.49	SZSE COMPOSITE INDEX	China-Shenzhen
11-23-2016	2140.52	2143.78	2125.18	2129.51	SZSE COMPOSITE INDEX	China-Shenzhen
11-22-2016	2121.94	2137.88	2121.94	2137.88	SZSE COMPOSITE INDEX	China-Shenzhen
11-21-2016	2110.60	2122.74	2110.28	2118.94	SZSE COMPOSITE INDEX	China-Shenzhen
11-18-2016	2117.82	2123.44	2108.63	2111.28	SZSE COMPOSITE INDEX	China-Shenzhen
11-17-2016	2119.86	2121.25	2106.92	2116.86	SZSE COMPOSITE INDEX	China-Shenzhen
11-16-2016	2126.45	2131.95	2124.00	2124.85	SZSE COMPOSITE INDEX	China-Shenzhen
11-15-2016	2114.16	2124.40	2107.26	2124.40	SZSE COMPOSITE INDEX	China-Shenzhen
11-14-2016	2104.00	2120.35	2101.70	2114.30	SZSE COMPOSITE INDEX	China-Shenzhen
11-11-2016	2097.04	2107.67	2093.96	2107.62	SZSE COMPOSITE INDEX	China-Shenzhen
11-10-2016	2083.71	2098.37	2083.71	2096.89	SZSE COMPOSITE INDEX	China-Shenzhen
11-9-2016	2080.56	2082.84	2041.33	2068.47	SZSE COMPOSITE INDEX	China-Shenzhen
11-8-2016	2073.17	2082.89	2070.83	2080.43	SZSE COMPOSITE INDEX	China-Shenzhen
11-7-2016	2066.96	2072.59	2060.78	2066.81	SZSE COMPOSITE INDEX	China-Shenzhen
11-4-2016	2071.60	2081.12	2063.20	2067.15	SZSE COMPOSITE INDEX	China-Shenzhen
11-3-2016	2055.16	2085.92	2053.54	2071.59	SZSE COMPOSITE INDEX	China-Shenzhen
11-2-2016	2069.16	2075.04	2058.76	2060.05	SZSE COMPOSITE INDEX	China-Shenzhen
11-1-2016	2051.93	2073.11	2051.93	2073.11	SZSE COMPOSITE INDEX	China-Shenzhen
10-31-2016	2046.27	2052.65	2035.58	2050.28	SZSE COMPOSITE INDEX	China-Shenzhen
10-28-2016	2067.11	2074.88	2051.98	2052.02	SZSE COMPOSITE INDEX	China-Shenzhen
10-27-2016	2067.07	2068.47	2059.48	2068.09	SZSE COMPOSITE INDEX	China-Shenzhen
10-26-2016	2077.29	2077.31	2063.19	2069.36	SZSE COMPOSITE INDEX	China-Shenzhen
10-25-2016	2071.16	2077.80	2070.61	2077.75	SZSE COMPOSITE INDEX	China-Shenzhen
10-24-2016	2053.08	2073.42	2049.73	2070.21	SZSE COMPOSITE INDEX	China-Shenzhen
10-21-2016	2059.08	2060.60	2035.52	2052.56	SZSE COMPOSITE INDEX	China-Shenzhen
10-20-2016	2054.51	2063.02	2052.13	2060.39	SZSE COMPOSITE INDEX	China-Shenzhen
10-19-2016	2059.46	2063.16	2048.68	2053.79	SZSE COMPOSITE INDEX	China-Shenzhen
10-18-2016	2025.07	2056.59	2025.04	2056.59	SZSE COMPOSITE INDEX	China-Shenzhen
10-17-2016	2048.88	2051.64	2022.04	2027.56	SZSE COMPOSITE INDEX	China-Shenzhen
10-14-2016	2046.60	2047.75	2032.90	2046.74	SZSE COMPOSITE INDEX	China-Shenzhen
10-13-2016	2046.81	2054.56	2044.17	2049.31	SZSE COMPOSITE INDEX	China-Shenzhen
10-12-2016	2037.91	2047.12	2034.55	2047.12	SZSE COMPOSITE INDEX	China-Shenzhen
10-11-2016	2033.64	2043.69	2031.23	2043.69	SZSE COMPOSITE INDEX	China-Shenzhen
10-10-2016	2004.73	2033.38	1999.80	2033.38	SZSE COMPOSITE INDEX	China-Shenzhen
09-30-2016	1983.99	1998.27	1983.41	1995.61	SZSE COMPOSITE INDEX	China-Shenzhen
09-29-2016	1979.46	1993.87	1979.46	1985.92	SZSE COMPOSITE INDEX	China-Shenzhen
09-28-2016	1982.18	1983.51	1974.68	1978.30	SZSE COMPOSITE INDEX	China-Shenzhen
09-27-2016	1962.59	1981.26	1955.17	1981.26	SZSE COMPOSITE INDEX	China-Shenzhen
09-26-2016	2004.16	2004.16	1966.60	1966.60	SZSE COMPOSITE INDEX	China-Shenzhen
09-23-2016	2019.57	2020.84	2007.79	2008.12	SZSE COMPOSITE INDEX	China-Shenzhen
09-22-2016	2016.64	2024.75	2015.01	2018.16	SZSE COMPOSITE INDEX	China-Shenzhen
09-21-2016	1999.53	2010.45	1998.86	2005.60	SZSE COMPOSITE INDEX	China-Shenzhen
09-20-2016	2002.68	2003.28	1994.95	2000.06	SZSE COMPOSITE INDEX	China-Shenzhen
09-19-2016	1984.12	2001.37	1984.12	2001.29	SZSE COMPOSITE INDEX	China-Shenzhen
09-14-2016	1980.32	1991.54	1973.11	1980.25	SZSE COMPOSITE INDEX	China-Shenzhen
09-13-2016	1987.77	1993.66	1977.79	1989.33	SZSE COMPOSITE INDEX	China-Shenzhen
09-12-2016	1998.50	2007.00	1976.98	1977.06	SZSE COMPOSITE INDEX	China-Shenzhen
09-9-2016	2050.59	2054.60	2035.02	2035.02	SZSE COMPOSITE INDEX	China-Shenzhen
09-8-2016	2043.11	2051.57	2038.38	2050.08	SZSE COMPOSITE INDEX	China-Shenzhen
09-7-2016	2048.18	2057.78	2042.43	2044.55	SZSE COMPOSITE INDEX	China-Shenzhen
09-6-2016	2019.27	2048.19	2002.81	2048.19	SZSE COMPOSITE INDEX	China-Shenzhen
09-5-2016	2015.19	2029.03	2014.29	2018.10	SZSE COMPOSITE INDEX	China-Shenzhen
09-2-2016	2014.41	2024.46	1999.76	2009.29	SZSE COMPOSITE INDEX	China-Shenzhen
09-1-2016	2032.57	2035.29	2017.46	2017.46	SZSE COMPOSITE INDEX	China-Shenzhen
08-31-2016	2028.57	2034.21	2016.65	2032.87	SZSE COMPOSITE INDEX	China-Shenzhen
08-30-2016	2028.85	2039.08	2025.05	2028.36	SZSE COMPOSITE INDEX	China-Shenzhen
08-29-2016	2021.68	2032.67	2019.41	2027.15	SZSE COMPOSITE INDEX	China-Shenzhen
08-26-2016	2022.96	2039.13	2019.02	2023.09	SZSE COMPOSITE INDEX	China-Shenzhen
08-25-2016	2019.53	2022.09	1995.60	2019.02	SZSE COMPOSITE INDEX	China-Shenzhen
08-24-2016	2026.14	2040.04	2023.99	2030.28	SZSE COMPOSITE INDEX	China-Shenzhen
08-23-2016	2016.93	2031.31	2010.95	2024.05	SZSE COMPOSITE INDEX	China-Shenzhen
08-22-2016	2045.35	2050.03	2018.26	2018.66	SZSE COMPOSITE INDEX	China-Shenzhen
08-19-2016	2040.65	2050.99	2033.42	2044.70	SZSE COMPOSITE INDEX	China-Shenzhen
08-18-2016	2040.35	2051.31	2034.93	2042.22	SZSE COMPOSITE INDEX	China-Shenzhen
08-17-2016	2036.97	2049.65	2031.16	2043.27	SZSE COMPOSITE INDEX	China-Shenzhen
08-16-2016	2026.34	2042.37	2026.31	2036.80	SZSE COMPOSITE INDEX	China-Shenzhen
08-15-2016	1977.23	2028.88	1974.34	2023.24	SZSE COMPOSITE INDEX	China-Shenzhen
08-12-2016	1947.28	1973.67	1946.01	1973.67	SZSE COMPOSITE INDEX	China-Shenzhen
08-11-2016	1972.54	1976.90	1950.92	1950.92	SZSE COMPOSITE INDEX	China-Shenzhen
08-10-2016	1982.11	1988.79	1976.10	1976.16	SZSE COMPOSITE INDEX	China-Shenzhen
08-9-2016	1961.72	1982.66	1960.56	1982.66	SZSE COMPOSITE INDEX	China-Shenzhen
08-8-2016	1935.83	1962.26	1922.69	1962.26	SZSE COMPOSITE INDEX	China-Shenzhen
08-5-2016	1948.62	1954.75	1940.47	1941.61	SZSE COMPOSITE INDEX	China-Shenzhen
08-4-2016	1933.61	1950.58	1926.47	1948.91	SZSE COMPOSITE INDEX	China-Shenzhen
08-3-2016	1923.24	1936.81	1919.03	1934.82	SZSE COMPOSITE INDEX	China-Shenzhen
08-2-2016	1910.24	1926.69	1909.27	1926.69	SZSE COMPOSITE INDEX	China-Shenzhen
08-1-2016	1933.19	1933.19	1893.00	1912.65	SZSE COMPOSITE INDEX	China-Shenzhen
07-29-2016	1950.11	1955.05	1932.23	1941.56	SZSE COMPOSITE INDEX	China-Shenzhen
07-28-2016	1949.54	1964.69	1922.85	1951.00	SZSE COMPOSITE INDEX	China-Shenzhen
07-27-2016	2045.89	2047.19	1932.45	1953.99	SZSE COMPOSITE INDEX	China-Shenzhen
07-26-2016	2019.27	2044.96	2019.19	2044.96	SZSE COMPOSITE INDEX	China-Shenzhen
07-25-2016	2015.55	2030.39	2009.72	2019.81	SZSE COMPOSITE INDEX	China-Shenzhen
07-22-2016	2037.25	2040.79	2017.77	2019.57	SZSE COMPOSITE INDEX	China-Shenzhen
07-21-2016	2035.50	2052.69	2030.82	2038.18	SZSE COMPOSITE INDEX	China-Shenzhen
07-20-2016	2035.35	2045.81	2031.09	2035.85	SZSE COMPOSITE INDEX	China-Shenzhen
07-19-2016	2026.23	2034.45	2011.51	2034.45	SZSE COMPOSITE INDEX	China-Shenzhen
