Date	Open	High	Low	Close	Index	Country
12-30-2016	6892.28	6901.82	6877.20	6881.22	S&P/NZX 50 Index Gross	New zealand
12-29-2016	6875.79	6895.14	6873.25	6892.28	S&P/NZX 50 Index Gross	New zealand
12-28-2016	6876.99	6884.20	6865.88	6875.79	S&P/NZX 50 Index Gross	New zealand
12-23-2016	6851.87	6883.40	6851.87	6876.99	S&P/NZX 50 Index Gross	New zealand
12-22-2016	6802.76	6851.88	6802.75	6851.87	S&P/NZX 50 Index Gross	New zealand
12-21-2016	6789.67	6840.78	6789.66	6802.76	S&P/NZX 50 Index Gross	New zealand
12-20-2016	6786.25	6819.14	6786.25	6789.67	S&P/NZX 50 Index Gross	New zealand
12-19-2016	6760.24	6804.05	6760.24	6786.25	S&P/NZX 50 Index Gross	New zealand
12-16-2016	6748.62	6807.37	6748.62	6760.24	S&P/NZX 50 Index Gross	New zealand
12-15-2016	6797.86	6798.96	6748.62	6748.62	S&P/NZX 50 Index Gross	New zealand
12-14-2016	6850.21	6858.83	6797.86	6797.86	S&P/NZX 50 Index Gross	New zealand
12-13-2016	6876.04	6887.73	6847.90	6850.21	S&P/NZX 50 Index Gross	New zealand
12-12-2016	6893.30	6908.79	6870.82	6876.04	S&P/NZX 50 Index Gross	New zealand
12-9-2016	6916.01	6932.36	6886.12	6893.30	S&P/NZX 50 Index Gross	New zealand
12-8-2016	6891.07	6917.71	6891.07	6916.01	S&P/NZX 50 Index Gross	New zealand
12-7-2016	6910.36	6910.37	6883.97	6889.78	S&P/NZX 50 Index Gross	New zealand
12-6-2016	6860.03	6910.37	6860.03	6910.36	S&P/NZX 50 Index Gross	New zealand
12-5-2016	6908.76	6908.76	6849.47	6854.71	S&P/NZX 50 Index Gross	New zealand
12-2-2016	6933.36	6973.45	6890.65	6904.85	S&P/NZX 50 Index Gross	New zealand
12-1-2016	6901.30	6934.98	6895.13	6932.74	S&P/NZX 50 Index Gross	New zealand
11-30-2016	6903.51	6911.79	6882.60	6896.96	S&P/NZX 50 Index Gross	New zealand
11-29-2016	6902.96	6912.41	6872.88	6901.75	S&P/NZX 50 Index Gross	New zealand
11-28-2016	6899.62	6919.13	6899.46	6902.96	S&P/NZX 50 Index Gross	New zealand
11-25-2016	6886.15	6907.54	6883.64	6899.62	S&P/NZX 50 Index Gross	New zealand
11-24-2016	6856.46	6904.54	6848.18	6883.25	S&P/NZX 50 Index Gross	New zealand
11-23-2016	6817.66	6859.26	6817.66	6851.45	S&P/NZX 50 Index Gross	New zealand
11-22-2016	6848.95	6878.66	6816.39	6816.40	S&P/NZX 50 Index Gross	New zealand
11-21-2016	6857.84	6865.23	6842.19	6848.96	S&P/NZX 50 Index Gross	New zealand
11-18-2016	6814.66	6867.05	6812.87	6857.84	S&P/NZX 50 Index Gross	New zealand
11-17-2016	6824.58	6844.67	6796.13	6814.66	S&P/NZX 50 Index Gross	New zealand
11-16-2016	6770.43	6832.29	6770.42	6824.58	S&P/NZX 50 Index Gross	New zealand
11-15-2016	6737.76	6771.36	6732.20	6770.43	S&P/NZX 50 Index Gross	New zealand
11-14-2016	6701.81	6742.91	6701.81	6737.76	S&P/NZX 50 Index Gross	New zealand
11-11-2016	6735.60	6784.94	6697.78	6697.78	S&P/NZX 50 Index Gross	New zealand
11-10-2016	6664.21	6887.64	6664.21	6733.72	S&P/NZX 50 Index Gross	New zealand
11-9-2016	6894.36	6924.31	6642.03	6664.21	S&P/NZX 50 Index Gross	New zealand
11-8-2016	6872.27	6931.48	6872.26	6894.36	S&P/NZX 50 Index Gross	New zealand
11-7-2016	6708.47	6874.58	6702.20	6872.27	S&P/NZX 50 Index Gross	New zealand
