Date	Open	High	Low	Close	Index	Country
12-15-2016	1516.20	1522.62	1514.68	1519.65	SET Index	Thailand
12-14-2016	1531.06	1531.84	1518.11	1521.25	SET Index	Thailand
12-13-2016	1528.16	1532.37	1521.42	1530.21	SET Index	Thailand
12-9-2016	1531.95	1532.84	1522.84	1526.32	SET Index	Thailand
12-8-2016	1524.20	1530.33	1523.73	1525.41	SET Index	Thailand
12-7-2016	1515.61	1523.45	1513.28	1520.53	SET Index	Thailand
12-6-2016	1506.48	1516.50	1503.15	1516.48	SET Index	Thailand
12-2-2016	1514.40	1518.29	1498.57	1501.66	SET Index	Thailand
12-1-2016	1519.66	1523.63	1510.64	1512.38	SET Index	Thailand
11-30-2016	1498.41	1511.87	1496.05	1510.24	SET Index	Thailand
11-29-2016	1507.59	1509.51	1494.51	1497.18	SET Index	Thailand
11-28-2016	1502.57	1505.48	1498.93	1500.78	SET Index	Thailand
11-25-2016	1494.26	1500.41	1493.55	1500.40	SET Index	Thailand
11-24-2016	1495.65	1497.62	1487.94	1490.11	SET Index	Thailand
11-23-2016	1491.02	1496.38	1488.38	1496.36	SET Index	Thailand
11-22-2016	1485.56	1489.29	1483.03	1485.68	SET Index	Thailand
11-21-2016	1476.82	1482.87	1472.65	1478.30	SET Index	Thailand
11-18-2016	1471.99	1475.90	1465.90	1473.86	SET Index	Thailand
11-17-2016	1477.11	1478.30	1467.36	1473.85	SET Index	Thailand
11-16-2016	1483.88	1486.45	1474.55	1474.64	SET Index	Thailand
11-15-2016	1474.06	1478.63	1463.31	1476.46	SET Index	Thailand
11-14-2016	1481.97	1483.29	1467.37	1469.23	SET Index	Thailand
11-11-2016	1508.62	1509.02	1493.93	1494.53	SET Index	Thailand
11-10-2016	1519.17	1522.63	1513.00	1514.26	SET Index	Thailand
11-9-2016	1498.81	1509.43	1486.32	1509.43	SET Index	Thailand
11-8-2016	1504.49	1510.99	1501.96	1509.84	SET Index	Thailand
11-7-2016	1496.06	1504.98	1495.14	1502.27	SET Index	Thailand
11-4-2016	1489.40	1491.44	1478.90	1485.70	SET Index	Thailand
11-3-2016	1499.14	1504.84	1493.05	1493.08	SET Index	Thailand
11-2-2016	1502.19	1502.57	1494.06	1498.65	SET Index	Thailand
11-1-2016	1500.15	1507.74	1499.66	1504.52	SET Index	Thailand
10-31-2016	1494.04	1497.64	1491.04	1495.72	SET Index	Thailand
10-28-2016	1500.72	1501.36	1491.32	1494.44	SET Index	Thailand
10-27-2016	1492.20	1500.99	1488.72	1498.36	SET Index	Thailand
10-26-2016	1505.99	1507.20	1492.11	1492.12	SET Index	Thailand
10-25-2016	1505.82	1508.89	1496.66	1506.47	SET Index	Thailand
10-21-2016	1494.61	1501.22	1491.63	1500.37	SET Index	Thailand
10-20-2016	1495.10	1498.04	1490.65	1492.73	SET Index	Thailand
10-19-2016	1471.78	1490.98	1470.51	1486.28	SET Index	Thailand
10-18-2016	1479.41	1482.17	1467.61	1477.54	SET Index	Thailand
10-17-2016	1470.54	1481.18	1463.19	1477.34	SET Index	Thailand
10-14-2016	1461.42	1480.47	1448.19	1477.61	SET Index	Thailand
10-13-2016	1387.03	1412.82	1356.79	1412.82	SET Index	Thailand
10-12-2016	1432.42	1435.29	1343.13	1406.18	SET Index	Thailand
10-11-2016	1465.79	1467.71	1431.70	1442.21	SET Index	Thailand
10-10-2016	1453.36	1470.84	1450.87	1457.02	SET Index	Thailand
10-7-2016	1513.18	1514.25	1501.00	1504.34	SET Index	Thailand
10-6-2016	1512.64	1518.23	1509.71	1513.86	SET Index	Thailand
10-5-2016	1512.79	1514.12	1505.87	1509.92	SET Index	Thailand
10-4-2016	1496.01	1511.06	1494.37	1509.78	SET Index	Thailand
10-3-2016	1490.11	1493.77	1487.62	1490.94	SET Index	Thailand
09-30-2016	1485.82	1490.14	1479.46	1483.21	SET Index	Thailand
09-29-2016	1491.37	1498.51	1488.26	1491.43	SET Index	Thailand
09-28-2016	1489.17	1491.20	1477.29	1479.58	SET Index	Thailand
09-27-2016	1493.55	1498.20	1488.78	1489.39	SET Index	Thailand
09-26-2016	1481.65	1492.21	1479.17	1490.14	SET Index	Thailand
09-23-2016	1505.77	1505.85	1485.14	1492.88	SET Index	Thailand
09-22-2016	1498.76	1506.70	1496.81	1505.99	SET Index	Thailand
09-21-2016	1481.23	1496.93	1480.23	1487.17	SET Index	Thailand
09-20-2016	1490.73	1491.16	1467.55	1473.78	SET Index	Thailand
09-19-2016	1482.58	1493.02	1481.19	1492.73	SET Index	Thailand
09-16-2016	1471.14	1479.07	1466.76	1479.07	SET Index	Thailand
09-15-2016	1460.80	1468.69	1457.07	1463.39	SET Index	Thailand
09-14-2016	1445.14	1459.89	1444.25	1458.19	SET Index	Thailand
09-13-2016	1431.52	1450.43	1429.62	1446.84	SET Index	Thailand
