Date	Open	High	Low	Close	Index	Country
12-30-2016	9186.30	9259.09	9186.30	9253.50	TSEC weighted index	Taiwan
12-29-2016	9172.39	9196.02	9149.16	9153.09	TSEC weighted index	Taiwan
12-28-2016	9120.90	9203.56	9120.90	9201.40	TSEC weighted index	Taiwan
12-27-2016	9120.88	9132.05	9100.83	9109.27	TSEC weighted index	Taiwan
12-26-2016	9088.99	9127.74	9083.28	9110.54	TSEC weighted index	Taiwan
12-23-2016	9112.33	9128.83	9078.64	9078.64	TSEC weighted index	Taiwan
12-22-2016	9204.29	9209.72	9118.75	9118.75	TSEC weighted index	Taiwan
12-21-2016	9234.94	9263.50	9204.26	9204.26	TSEC weighted index	Taiwan
12-20-2016	9229.74	9258.69	9199.84	9242.41	TSEC weighted index	Taiwan
12-19-2016	9316.06	9317.03	9237.98	9239.32	TSEC weighted index	Taiwan
12-16-2016	9352.27	9379.75	9326.78	9326.78	TSEC weighted index	Taiwan
12-15-2016	9337.21	9370.51	9309.79	9360.35	TSEC weighted index	Taiwan
12-14-2016	9395.60	9413.13	9353.25	9368.52	TSEC weighted index	Taiwan
12-13-2016	9361.97	9382.14	9342.56	9382.14	TSEC weighted index	Taiwan
12-12-2016	9402.05	9430.34	9336.45	9349.94	TSEC weighted index	Taiwan
12-9-2016	9383.07	9399.25	9366.86	9392.68	TSEC weighted index	Taiwan
12-8-2016	9308.90	9376.41	9308.90	9375.86	TSEC weighted index	Taiwan
12-7-2016	9279.00	9299.92	9247.50	9263.89	TSEC weighted index	Taiwan
12-6-2016	9209.80	9280.65	9209.80	9250.77	TSEC weighted index	Taiwan
12-5-2016	9194.46	9212.19	9138.64	9160.66	TSEC weighted index	Taiwan
12-2-2016	9214.56	9214.56	9165.90	9189.49	TSEC weighted index	Taiwan
12-1-2016	9245.55	9278.96	9241.78	9263.53	TSEC weighted index	Taiwan
11-30-2016	9196.09	9240.71	9189.62	9240.71	TSEC weighted index	Taiwan
11-29-2016	9220.95	9249.06	9192.38	9192.38	TSEC weighted index	Taiwan
11-28-2016	9167.33	9241.54	9167.33	9222.24	TSEC weighted index	Taiwan
11-25-2016	9149.35	9191.34	9148.63	9159.07	TSEC weighted index	Taiwan
11-24-2016	9164.84	9183.16	9137.56	9152.11	TSEC weighted index	Taiwan
11-23-2016	9146.72	9202.72	9146.72	9178.23	TSEC weighted index	Taiwan
11-22-2016	9058.58	9161.19	9058.58	9133.39	TSEC weighted index	Taiwan
