Date,Close,High,Low,Open
2016/12/13,10332.2755,10364.0642,10192.1305,10280.4371
2016/12/12,10302.853,10775.5698,10292.5399,10774.5925
2016/12/9,10789.6244,10835.9115,10766.5554,10802.1757
2016/12/8,10812.2973,10865.2206,10804.741,10865.2206
2016/12/7,10855.7176,10855.7176,10751.2018,10780.2123
2016/12/6,10779.7653,10833.8086,10774.3601,10798.8021
2016/12/5,10784.3317,10894.0767,10762.8464,10776.1222
2016/12/2,10912.6271,11078.2908,10905.3929,11074.5363
2016/12/1,11088.1566,11090.9313,11036.6111,11037.1147
2016/11/30,11012.1927,11072.0553,10983.181,11023.6569
2016/11/29,11034.7016,11124.8109,11026.2979,11039.6225
2016/11/28,11068.8673,11108.8654,11045.6842,11078.7726
2016/11/25,11036.5294,11036.5294,10830.3974,10966.3625
2016/11/24,10967.4659,11030.1233,10947.2729,10960.645
2016/11/23,10973.7995,11041.5222,10952.0008,11010.9994
2016/11/22,10985.6029,10985.6029,10910.4158,10910.4158
2016/11/21,10899.9168,10955.4429,10861.8103,10877.0755
2016/11/18,10889.1062,10963.6632,10876.9139,10946.8766
2016/11/17,10945.4163,10961.7998,10887.515,10942.1018
2016/11/16,10968.0839,10998.9209,10956.8706,10970.7039
2016/11/15,10958.104,10958.104,10877.3965,10910.1452
2016/11/14,10907.5255,10952.6079,10847.8173,10855.9832
2016/11/11,10878.1385,10878.1385,10792.8304,10823.9326
2016/11/10,10821.663,10848.9758,10777.0965,10777.0965
2016/11/9,10697.1144,10785.0896,10575.1632,10768.8608
2016/11/8,10763.1256,10785.8752,10722.3552,10734.0672
2016/11/7,10695.1784,10729.9848,10663.5568,10704.2576
2016/11/4,10702.5696,10784.8352,10684.4664,10737.9096
2016/11/3,10743.9632,10804.2568,10655.136,10662.164
2016/11/2,10692.6528,10785.1136,10686.9392,10771.348
2016/11/1,10796.1376,10797.0608,10706.8704,10714.8208
2016/10/31,10704.304,10719.036,10630.304,10685.3576
2016/10/28,10711.0368,10836.7736,10710.928,10783.2768
2016/10/27,10788.97,10808.144,10745.277,10805.804
