
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees,Shanghai
2015-1-1,6,2,-1,-10,-13,-16,51,34,19,1035,1033,1032,8,8,8,32,18,50,0.00,,,328,Shanghai
2015-1-2,9,2,-4,-5,-9,-14,74,44,19,1032,1030,1028,7,7,7,14,5,,0.00,,,351,Shanghai
2015-1-3,12,6,1,3,-2,-5,76,55,30,1029,1023,1018,8,7,7,21,10,,0.00,,,150,Shanghai
2015-1-4,18,10,2,6,1,-5,93,58,22,1019,1017,1016,8,5,3,14,5,,0.00,,,135,Shanghai
2015-1-5,20,14,9,13,7,3,100,65,37,1016,1013,1010,8,5,1,26,13,,0.00,6,Fog-Rain,195,Shanghai
2015-1-6,13,8,3,7,2,-1,87,74,57,1026,1022,1015,10,7,3,32,26,47,0.00,6,Rain,355,Shanghai
2015-1-7,7,3,1,-1,-3,-5,75,59,43,1031,1028,1025,10,10,10,26,18,,0.00,3,,337,Shanghai
2015-1-8,9,4,1,-3,-6,-11,75,51,25,1034,1031,1030,8,7,6,18,11,,0.00,,,328,Shanghai
2015-1-9,11,6,0,-1,-3,-5,81,55,35,1032,1030,1027,7,5,4,11,5,,0.00,,,259,Shanghai
2015-1-10,15,8,2,1,-1,-4,81,58,29,1030,1028,1026,8,4,3,11,5,,0.00,,,245,Shanghai
2015-1-11,16,9,2,4,1,-2,93,63,31,1032,1028,1026,7,4,2,26,8,47,0.00,,,17,Shanghai
2015-1-12,9,7,5,3,1,-1,81,66,50,1036,1034,1032,10,10,10,21,16,40,0.00,2,,52,Shanghai
2015-1-13,10,8,6,8,4,1,100,79,66,1033,1029,1025,10,9,5,21,14,35,0.00,7,Rain,48,Shanghai
2015-1-14,9,8,7,8,7,6,100,92,87,1027,1025,1024,10,6,1,32,18,,0.00,8,Rain,347,Shanghai
2015-1-15,9,7,5,6,4,2,93,83,66,1029,1027,1026,10,4,1,21,14,,0.00,8,Rain,311,Shanghai
2015-1-16,8,7,5,3,2,0,87,73,62,1031,1027,1025,6,5,3,26,11,,0.00,6,,292,Shanghai
2015-1-17,7,4,2,1,-2,-4,81,63,49,1035,1032,1031,10,7,3,26,14,,0.00,4,,19,Shanghai
