"","C_COUNTRY","C_CITY","C_DATE","C_AVG_TEMP","C_MAX_TEMP","C_MIN_TEMP","C_RAINFULL","C_RAIN","C_SNOW","C_STORM","C_FOG"
"1","China","Shanghai",2011-01-01,"0.8","3.3","-3.4","0",0,0,0,0
"2","China","Shanghai",2011-01-02,"3.4","5.4","-0.5","0",0,1,0,0
"3","China","Shanghai",2011-01-03,"1.9","4.8","0.1","0",0,0,0,0
"4","China","Shanghai",2011-01-04,"1.6","4.3","-1.4","0",0,0,0,0
"5","China","Shanghai",2011-01-05,"2.9","3.8","-0.8","0",1,0,0,0
"6","China","Shanghai",2011-01-06,"1.1","3","-0.2","0",0,0,0,0
"7","China","Shanghai",2011-01-07,"0.8","4.4","-3.2","0",0,0,0,0
"8","China","Shanghai",2011-01-08,"3.3","7.3","-3.8","0",0,0,0,0
"9","China","Shanghai",2011-01-09,"1.9","5.5","-0.9","0",0,0,0,0
"10","China","Shanghai",2011-01-10,"0.1","3.5","-2","0",0,0,0,0
"11","China","Shanghai",2011-01-11,"0.4","4","-2.6","0",0,0,0,0
"12","China","Shanghai",2011-01-12,"0.6","4.2","-2.8","0",0,0,0,0
"13","China","Shanghai",2011-01-13,"4.4","7","-3","0",0,0,0,0
"14","China","Shanghai",2011-01-14,"5.5","7","3.8","0",0,0,0,0
"15","China","Shanghai",2011-01-15,"-0.7","5.1","-4","0",0,0,0,0
"16","China","Shanghai",2011-01-16,"-1.7","1.5","-4.7","0",0,0,0,0
"17","China","Shanghai",2011-01-17,"0.6","2.6","-3.8","0",0,0,0,0
"18","China","Shanghai",2011-01-18,"0.7","1.6","-0.2","2.79",0,1,0,0
"19","China","Shanghai",2011-01-19,"2.1","3.4","-0.2","1.02",0,1,0,0
"20","China","Shanghai",2011-01-20,"1","2.5","0.3","1.78",0,1,0,0
"21","China","Shanghai",2011-01-21,"0.7","3.4","-2.6","1.27",0,0,0,0
"22","China","Shanghai",2011-01-22,"2.9","6.2","-3.4","0",1,0,0,0
"23","China","Shanghai",2011-01-23,"2.3","5","0.2","0.51",1,0,0,0
"24","China","Shanghai",2011-01-24,"0.5","3.2","-1.7","0",0,0,0,0
"25","China","Shanghai",2011-01-25,"2.5","4.9","-2.9","0",0,0,0,0
"26","China","Shanghai",2011-01-26,"3.8","5.8","1.9","0",0,0,0,0
"27","China","Shanghai",2011-01-27,"3.3","5.5","1.6","4.06",1,0,0,0
"28","China","Shanghai",2011-01-28,"1.3","4.1","-1.1","1.27",1,1,0,0
"29","China","Shanghai",2011-01-29,"1.2","4.3","-1.3","0.51",0,0,0,0
"30","China","Shanghai",2011-01-30,"-0.9","2.7","-4.4","0",0,0,0,0
"31","China","Shanghai",2011-01-31,"1.2","6.5","-5.3","0",0,0,0,0
"32","China","Shanghai",2011-02-01,"1.4","7.7","-3.1","0",0,0,0,0
"33","China","Shanghai",2011-02-02,"4.2","11.7","-3.7","0",0,0,0,0
"34","China","Shanghai",2011-02-03,"7.4","14.4","-1.2","0",0,0,0,0
"35","China","Shanghai",2011-02-04,"7.6","12.9","1.7","0",0,0,0,0
"36","China","Shanghai",2011-02-05,"8.3","13.6","0.6","0",0,0,0,0
"37","China","Shanghai",2011-02-06,"8.8","17.1","4.5","0",0,0,0,0
"38","China","Shanghai",2011-02-07,"11.5","15.5","4.3","0",0,0,0,0
"39","China","Shanghai",2011-02-08,"10","15.1","5.6","0",0,0,0,0
"40","China","Shanghai",2011-02-09,"5.4","7.5","4.4","0",1,0,0,0
"41","China","Shanghai",2011-02-10,"2.9","4.6","2","7.87",1,0,0,0
"42","China","Shanghai",2011-02-11,"3.3","5","1.5","2.54",0,0,0,0
"43","China","Shanghai",2011-02-12,"0.9","3.5","-0.1","0",0,0,0,0
"44","China","Shanghai",2011-02-13,"1.6","3.9","-0.2","3.3",1,1,0,0
"45","China","Shanghai",2011-02-14,"0.3","3","-2.5","0",0,1,0,0
"46","China","Shanghai",2011-02-15,"2.7","4.1","-3.4","0",0,0,0,0
"47","China","Shanghai",2011-02-16,"4.8","5.8","2.3","5.08",1,0,0,0
"48","China","Shanghai",2011-02-17,"3.6","5","2.1","0",1,0,0,0
"49","China","Shanghai",2011-02-18,"4.2","5.9","1.6","0",0,0,0,0
"50","China","Shanghai",2011-02-19,"5.6","7","3.6","0",0,0,0,0
"51","China","Shanghai",2011-02-20,"5.8","9.9","1.2","0",0,0,0,0
"52","China","Shanghai",2011-02-21,"7","11.1","0.6","0",0,0,0,1
"53","China","Shanghai",2011-02-22,"9.1","13.5","5.1","0",0,0,0,1
"54","China","Shanghai",2011-02-23,"9.9","14.4","6.2","0",0,0,0,0
"55","China","Shanghai",2011-02-24,"10.9","15.8","5.2","0",0,0,0,0
"56","China","Shanghai",2011-02-25,"7.2","10.1","5.8","0",0,0,0,0
"57","China","Shanghai",2011-02-26,"12.8","16.3","5.6","0",0,0,0,0
"58","China","Shanghai",2011-02-27,"10.1","16.1","5.8","2.29",1,0,0,0
"59","China","Shanghai",2011-02-28,"4.8","6.2","2.7","2.29",1,0,0,0
"60","China","Shanghai",2011-03-01,"1.9","4","0.3","0.25",0,0,0,0
"61","China","Shanghai",2011-03-02,"5","7.7","0.2","0",0,0,0,0
"62","China","Shanghai",2011-03-03,"5.6","9.9","1.1","0",0,0,0,0
"63","China","Shanghai",2011-03-04,"5.4","9.3","1","0",0,0,0,0
"64","China","Shanghai",2011-03-05,"9.2","11.7","3.3","1.78",1,0,0,0
"65","China","Shanghai",2011-03-06,"7.4","9.3","5.7","4.32",1,0,0,0
"66","China","Shanghai",2011-03-07,"6.1","10.8","2.5","0",0,0,0,0
"67","China","Shanghai",2011-03-08,"10.6","15.5","2","0",0,0,0,0
"68","China","Shanghai",2011-03-09,"7.8","12.2","1.7","0",0,0,0,0
"69","China","Shanghai",2011-03-10,"8.3","13.8","1.6","0",0,0,0,0
"70","China","Shanghai",2011-03-11,"11.8","16.1","2.1","0",0,0,0,0
"71","China","Shanghai",2011-03-12,"12.9","18.7","9.2","0",0,0,0,0
"72","China","Shanghai",2011-03-13,"14.1","19.2","9","0.76",1,0,0,0
"73","China","Shanghai",2011-03-14,"9.6","15.4","5.8","0.25",1,0,0,0
"74","China","Shanghai",2011-03-15,"6.1","9.2","1.9","0",0,0,0,0
"75","China","Shanghai",2011-03-16,"8.6","13.8","1.7","0",0,0,0,0
"76","China","Shanghai",2011-03-17,"10.8","14.3","2.4","0",0,0,0,0
"77","China","Shanghai",2011-03-18,"12.1","14.5","8.1","0",0,0,0,0
"78","China","Shanghai",2011-03-19,"14.5","16.4","9.4","15.24",1,0,0,0
"79","China","Shanghai",2011-03-20,"9.3","15.4","6.2","4.83",1,0,0,0
"80","China","Shanghai",2011-03-21,"6.8","7.4","6.1","10.41",1,0,0,0
"81","China","Shanghai",2011-03-22,"6.3","10","3.7","0.76",1,0,0,0
"82","China","Shanghai",2011-03-23,"8.5","13.4","2.7","0",0,0,0,0
"83","China","Shanghai",2011-03-24,"10.8","16.5","4.8","0",0,0,0,0
"84","China","Shanghai",2011-03-25,"8.3","11.8","4.8","0",0,0,0,0
"85","China","Shanghai",2011-03-26,"10.2","15.1","7.6","0",0,0,0,0
"86","China","Shanghai",2011-03-27,"12.3","16.9","6.2","0",0,0,0,0
"87","China","Shanghai",2011-03-28,"13.8","20","8.2","0",0,0,0,0
"88","China","Shanghai",2011-03-29,"9","13.2","3.4","0",0,0,0,0
"89","China","Shanghai",2011-03-30,"11.1","15.1","2.7","0",0,0,0,0
