"","CST","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","City","Rain","Snow","Thunderstorm","Fog"
"1",2015-01-01,6,2,-1,"Shanghai",0,0,0,0
"2",2015-01-02,9,2,-4,"Shanghai",0,0,0,0
"3",2015-01-03,12,6,1,"Shanghai",0,0,0,0
"4",2015-01-04,18,10,2,"Shanghai",0,0,0,0
"5",2015-01-05,20,14,9,"Shanghai",1,0,0,1
"6",2015-01-06,13,8,3,"Shanghai",1,0,0,0
"7",2015-01-07,7,3,1,"Shanghai",0,0,0,0
"8",2015-01-08,9,4,1,"Shanghai",0,0,0,0
"9",2015-01-09,11,6,0,"Shanghai",0,0,0,0
"10",2015-01-10,15,8,2,"Shanghai",0,0,0,0
"11",2015-01-11,16,9,2,"Shanghai",0,0,0,0
"12",2015-01-12,9,7,5,"Shanghai",0,0,0,0
"13",2015-01-13,10,8,6,"Shanghai",1,0,0,0
"14",2015-01-14,9,8,7,"Shanghai",1,0,0,0
"15",2015-01-15,9,7,5,"Shanghai",1,0,0,0
"16",2015-01-16,8,7,5,"Shanghai",0,0,0,0
"17",2015-01-17,7,4,2,"Shanghai",0,0,0,0
"18",2015-01-18,10,6,1,"Shanghai",0,0,0,0
"19",2015-01-19,12,7,2,"Shanghai",0,0,0,0
"20",2015-01-20,11,8,5,"Shanghai",0,0,0,0
"21",2015-01-21,15,10,6,"Shanghai",1,0,0,0
"22",2015-01-22,7,4,3,"Shanghai",0,0,0,0
"23",2015-01-23,11,6,0,"Shanghai",0,0,0,0
"24",2015-01-24,16,10,5,"Shanghai",0,0,0,0
"25",2015-01-25,14,11,9,"Shanghai",1,0,0,0
"26",2015-01-26,10,9,8,"Shanghai",1,0,0,0
"27",2015-01-27,8,4,1,"Shanghai",1,1,0,0
"28",2015-01-28,6,3,1,"Shanghai",1,1,0,0
"29",2015-01-29,5,3,2,"Shanghai",1,0,0,0
"30",2015-01-30,6,3,2,"Shanghai",1,0,0,0
"31",2015-01-31,7,3,1,"Shanghai",0,0,0,0
"32",2015-02-01,6,3,2,"Shanghai",1,0,0,0
"33",2015-02-02,7,6,4,"Shanghai",1,0,0,0
"34",2015-02-03,8,7,5,"Shanghai",0,0,0,0
"35",2015-02-04,9,7,4,"Shanghai",0,0,0,0
"36",2015-02-05,7,3,1,"Shanghai",0,0,0,0
"37",2015-02-06,9,4,-1,"Shanghai",0,0,0,0
"38",2015-02-07,12,6,1,"Shanghai",0,0,0,0
"39",2015-02-08,7,3,0,"Shanghai",0,0,0,0
"40",2015-02-09,6,2,-2,"Shanghai",0,0,0,0
"41",2015-02-10,11,4,-2,"Shanghai",0,0,0,0
"42",2015-02-11,15,8,2,"Shanghai",0,0,0,0
"43",2015-02-12,13,9,6,"Shanghai",0,0,0,0
"44",2015-02-13,13,9,6,"Shanghai",0,0,0,0
"45",2015-02-14,18,12,7,"Shanghai",0,0,0,0
"46",2015-02-15,19,16,13,"Shanghai",1,0,0,0
"47",2015-02-16,15,12,9,"Shanghai",0,0,0,0
"48",2015-02-17,14,10,7,"Shanghai",0,0,0,0
"49",2015-02-18,12,7,3,"Shanghai",0,0,0,0
"50",2015-02-19,12,6,1,"Shanghai",0,0,0,0
"51",2015-02-20,12,9,6,"Shanghai",1,0,0,0
"52",2015-02-21,12,10,9,"Shanghai",1,0,0,0
"53",2015-02-22,9,8,7,"Shanghai",1,0,0,0
"54",2015-02-23,9,6,3,"Shanghai",1,0,0,0
"55",2015-02-24,10,8,6,"Shanghai",1,0,1,0
"56",2015-02-25,10,9,8,"Shanghai",1,0,0,0
"57",2015-02-26,10,9,8,"Shanghai",1,0,0,0
"58",2015-02-27,8,6,4,"Shanghai",1,0,0,0
"59",2015-02-28,6,4,4,"Shanghai",1,0,0,0
"60",2015-03-01,10,7,3,"Shanghai",0,0,0,0
"61",2015-03-02,12,7,3,"Shanghai",1,0,0,0
"62",2015-03-03,14,9,5,"Shanghai",1,0,0,0
"63",2015-03-04,7,4,3,"Shanghai",0,0,0,0
"64",2015-03-05,6,4,4,"Shanghai",1,0,0,0
"65",2015-03-06,9,7,4,"Shanghai",0,0,0,0
"66",2015-03-07,12,9,6,"Shanghai",0,0,0,0
"67",2015-03-08,11,9,7,"Shanghai",1,0,0,0
"68",2015-03-09,13,9,5,"Shanghai",1,0,0,0
"69",2015-03-10,7,3,1,"Shanghai",0,0,0,0
"70",2015-03-11,11,6,1,"Shanghai",0,0,0,0
"71",2015-03-12,16,9,3,"Shanghai",0,0,0,0
